fulcrum_id,fulcrum_parent_id,fulcrum_record_id,fulcrum_record_version,version,caption,latitude,longitude,geometry,file_size,uploaded_at,exif_date_time,exif_gps_altitude,exif_gps_date_stamp,exif_gps_time_stamp,exif_gps_dop,exif_gps_img_direction,exif_gps_img_direction_ref,exif_gps_latitude,exif_gps_latitude_ref,exif_gps_longitude,exif_gps_longitude_ref,exif_make,exif_model,exif_orientation,exif_pixel_x_dimension,exif_pixel_y_dimension,exif_software,exif_x_resolution,exif_y_resolution
3e4cf9f2-6951-4981-a01e-5f8e0e51e388,5dd57ba5-9f24-447e-9a66-ebeecb7e05c6,63d99e29-a9b1-4a01-a54a-5e49463cc82f,1,1,"",55.71453,-3.95472,POINT (-3.95472 55.71453),221365,2016-04-16 15:15:18 UTC,2016-04-16 14:47:50 UTC,155.048828125,2016-04-16,13:47:52,5.0,197.20987654320987,M,"55.0,42.0,52.29",N,"3.0,57.0,16.98",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
7cf9b57f-da1e-4b0c-9e6b-ea36e84fba25,6978d381-bf86-462a-8636-649221d2beac,d76e42ba-f02e-4fd7-b9fa-69899af48995,1,1,"",55.69291,-3.99016,POINT (-3.99016 55.69291),203730,2016-04-16 15:15:25 UTC,2016-04-16 14:51:39 UTC,149.91735537190084,2016-04-16,13:51:41,10.0,80.3814303638645,M,"55.0,41.0,34.47",N,"3.0,59.0,24.58",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
0fc382d5-82a0-4000-a254-4f0630244b13,5722b59e-6beb-4209-ac45-6c6077076fda,ee583744-cbea-4c32-ab6e-03d42bf4a806,1,1,"",55.68701,-4.00458,POINT (-4.00458 55.68701),171038,2016-04-16 15:15:32 UTC,2016-04-16 14:53:10 UTC,152.0483870967742,2016-04-16,13:53:13,5.0,239.7495107632094,M,"55.0,41.0,13.22",N,"4.0,0.0,16.5",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
e5341149-c42d-468e-8fa3-455da8cae6e9,da1d2d04-8e55-4e94-a8cb-24097da79c43,7c89fd2e-e84b-497c-a4b1-9fad405827bb,1,1,"",55.68564,-4.0188,POINT (-4.0188 55.68564),168396,2016-04-16 15:15:39 UTC,2016-04-16 14:54:00 UTC,137.94886363636363,2016-04-16,13:54:02,5.0,244.01119402985074,M,"55.0,41.0,8.3",N,"4.0,1.0,7.68",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
2f756001-5531-43e1-85f6-477fd4ae126f,6cedfa7d-5c37-4bf6-836d-54e5cf4e97c5,8b0df84b-5b5b-4e06-8855-6e9f0131a5a6,1,1,"",55.67749,-4.05247,POINT (-4.05247 55.67749),185981,2016-04-16 15:16:05 UTC,2016-04-16 14:55:43 UTC,179.53917050691246,2016-04-16,13:55:46,5.0,233.5740318906606,M,"55.0,40.0,38.96",N,"4.0,3.0,8.9",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
36aa2c04-8083-4128-adc0-4365da25396a,fd4a5f91-fc2a-4f04-9b9c-33f7d449cd04,9bed368a-a2ee-4793-abdc-0f07950c7be9,1,1,"",55.67664,-4.06458,POINT (-4.06458 55.67664),265227,2016-04-17 12:41:40 UTC,2016-04-16 16:07:16 UTC,182.0065789473684,2016-04-16,15:07:27,10.0,171.95703125,M,"55.0,40.0,35.92",N,"4.0,3.0,52.5",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
3095bf02-3ac3-4a18-a1d6-7e4ecb890a0e,1de9e303-8a4b-433b-a57e-2874c0a42124,3cf6aa8f-9033-40a2-9bd4-eb4cdf450826,1,1,"",55.67663,-4.06456,POINT (-4.06456 55.67663),273881,2016-04-16 15:18:21 UTC,2016-04-16 16:07:36 UTC,186.72527472527472,2016-04-16,15:07:37,10.0,194.03225806451613,M,"55.0,40.0,35.87",N,"4.0,3.0,52.42",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
2fa54169-9881-4dd3-bdc6-48529739fb18,ce341b90-d443-4d1b-aff5-4519b5d3c2e9,71292065-5df3-448e-b680-0afcf08d38c4,1,1,"",55.67658,-4.06501,POINT (-4.06501 55.67658),204791,2016-04-16 15:18:27 UTC,2016-04-16 16:10:34 UTC,182.6830601092896,2016-04-16,15:10:35,5.0,300.2130177514793,M,"55.0,40.0,35.69",N,"4.0,3.0,54.05",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
6f0a93d3-4809-4c13-aa3d-45946229dea1,95ef7813-3100-4280-ba59-d324aacc80f4,e9a1f715-03f0-47c0-aea9-b9e3ef720d04,1,1,"",55.67656,-4.06523,POINT (-4.06523 55.67656),236367,2016-04-16 15:18:37 UTC,2016-04-16 16:11:00 UTC,190.7146017699115,2016-04-16,15:11:01,5.0,58.67206477732793,M,"55.0,40.0,35.6",N,"4.0,3.0,54.84",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
992e6a71-a9ac-450b-81e3-a01d8d3d1596,42152766-7b18-4be4-8119-6de1ce058297,767f4742-97ae-4268-b0a1-4529624e0a24,1,1,"",55.67647,-4.06554,POINT (-4.06554 55.67647),247488,2016-04-16 15:18:43 UTC,2016-04-16 16:11:46 UTC,182.51020408163265,2016-04-16,15:11:50,5.0,297.6555023923445,M,"55.0,40.0,35.29",N,"4.0,3.0,55.96",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
