id,year,country,totaldebt,gdp,exchangeratencperusd,debt_gdp,domestogdp,exttogdp,officialdebt,totalnonofficialdebt,foreignbanks,dombanks,totalbank,ext_marketinstrument,dom_market,total_mkt,ext_oth,int_oth,tot_oth,offdom,bankdom,mardom,othdom,credtype_int_sumshares,offext,bankext,marext,othext,credtype_ext_sumshares,credtype_total,officialexternaldebt,nonofficialexternaldebt,external,totaldomestic,legandcred_total,legandcred_ext_tot,legandcred_int_tot,for_ext,for_int,dom_ext,dom_int,currandleg_total,totaldebt_short_term_ext,totaldebt_short_term_int,totaldebt_short_term,totaldebt_med_term_ext,totaldebt_med_term_int,totaldebt_med_term,totaldebt_long_term_ext,totaldebt_long_term_int,totaldebt_long_term,avgmat_ext,avgmat_int,matandleg_total,short_extcurr,short_intcurr,matandcurr_short_tot,med_extcurr,med_intcurr,matandcurr_med_tot,long_extcurr,long_intcurr,matandcurr_long_tot,matandcurr_tot,for_n-i_fr,for_n-i_flr,for_i_fr,for_i_flr,tot_debt_for,dom_n-i_fr,dom_n-i_flr,dom_i_fr,dom_i_flr,tot_debt_dom,debt_index,debt_nonindex,currandrate_tot,heldby_cb,heldby_others,heldby_tot,crossholding,net_debt_1,reserves,net_debt_2,PPFassets,net_debt_3,pay_ppcal_ext,pay_ppal_int,pay_ppal_tot,pay_int_ext,pay_int_int,pay_int_tot,pay_tot_kind,pay_ppal_CB,pay_int_CB,pay_CB_tot,pay_ppal_oth,pay_int_oth,pay_oth_tot,pay_tot_holders,bycurr_debt_for,bycurr_debt_dom,bycurr_debt_index,due_1y_ppal_ext,due_1y_ppal_int,due_1y_ppal_tot,due_1y_int_ext,due_1y_int_int,due_1y_int_tot,due_1y_tot_kind,due_2y_ppal_ext,due_2y_ppal_int,due_2y_ppal_tot,due_2y_int_ext,due_2y_int_int,due_2y_int_tot,due_2y_tot_kind,due_3y_ppal_ext,due_3y_ppal_int,due_3y_ppal_tot,due_3y_int_ext,due_3y_int_int,due_3y_int_tot_kind,due_3y_tot,due_4y_ppal_ext,due_4y_ppal_int,due_4y_ppal_tot,due_4y_int_ext,due_4y_int_int,due_4y_int_tot,due_4y_tot_kind,due_5y_ppal_ext,due_5y_ppal_int,due_5y_ppal_tot,due_5y_int_ext,due_5y_int_int,due_5y_int_tot,due_5y_tot_kind,due_6y_10y_ppal_ext,due_6y_10y_ppal_int,due_6y_10y_ppal_tot,due_6y_10y_int_ext,due_6y_10y_int_int,due_6y_10y_int_tot,due_6y_10y_tot_kind,due_11y_ppal_ext,due_11y_ppal_int,due_11y_ppal_tot,due_11y_int_ext,due_11y_int_int,due_11y_int_tot,due_11y_tot_kind,due_1y_ppal_CB,due_1y_int_CB,due_1y_tot_CB,due_1y_ppal_oth,due_1y_int_oth,due_1y_tot_oth,due_2y_ppal_CB,due_2y_int_CB,due_2y_tot_CB,due_2y_ppal_oth,due_2y_int_oth,due_2y_tot_oth,due_3y_ppal_CB,due_3y_int_CB,due_3y_tot_CB,due_3y_ppal_oth,due_3y_int_oth,due_3y_tot_oth,due_4y_ppal_CB,due_4y_int_CB,due_4y_tot_CB,due_4y_ppal_oth,due_4y_int_oth,due_4y_tot_oth,due_5y_ppal_CB,due_5y_int_CB,due_5y_tot_CB,due_5y_ppal_oth,due_5y_int_oth,due_5y_tot_oth,due_6y_10y_ppal_CB,due_6y_10y_int_CB,due_6y_10y_tot_CB,due_6y_10y_ppal_oth,due_6y_10y_int_oth,due_6y_10y_tot_oth,due_11y_ppal_CB,due_11y_int_CB,due_11y_tot_CB,due_11y_ppal_oth,due_int_oth,due_11y_tot_oth
2008Brazil,2008,Brazil,809433.65,1650713.00,2.36,0.49,0.44,0.05,15358.86,794074.79,2938.75,0.00,2938.75,58462.67,732673.37,791136.04,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.20,0.04,0.76,0.00,1.00,809433.65,15358.86,61401.43,76760.29,732673.37,809433.65,0.09,0.91,70525.60,0.00,6234.69,732673.37,809433.65,5292.19,200004.82,205297.00,21107.57,392474.55,413582.11,50360.59,140193.94,190554.54,7.32,3.53,809433.65,5292.19,200004.82,205297.00,21107.57,392474.55,413582.11,44125.79,146428.74,190554.54,809433.65,6234.69,0.00,63943.97,346.93,70525.59,237857.93,264485.16,236564.98,0.00,738908.07,0.37,0.63,809433.65,211515.15,597918.50,809433.65,211515.15,597918.50,206806.00,391112.50,0.00,391112.50,4493.19,214235.61,218728.79,5743.55,53931.95,59675.51,278404.30,,,64004.19,,,214400.11,278404.30,0.01,0.62,0.37,3255.44,126096.99,129352.44,4506.28,29476.48,33982.76,163335.20,3725.41,130869.22,134594.63,4200.13,22864.89,27065.03,161659.66,4154.05,64064.07,68218.11,3944.80,20907.45,24852.25,93070.37,5212.91,82899.38,88112.29,3584.65,11277.80,14862.45,102974.74,2901.81,37110.09,40011.89,3256.21,16407.35,19663.57,59675.46,13587.74,102946.16,116533.91,13062.81,53534.38,66597.19,183131.10,23749.79,143742.58,167492.38,23568.82,117620.63,141189.45,308681.82,,,37598.85,,,163335.20,,,40265.11,,,161659.66,,,50591.38,,,93070.37,,,37222.10,,,102974.74,,,20889.90,,,59675.46,,,78367.79,,,183131.10,,,66463.54,,,308681.82
2009-IBrazil,2009-I,Brazil,991109.74,1439049.00,,0.69,0.63,0.05,10958.83,980150.91,1949.80,0.00,1949.80,64970.63,913230.48,978201.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.14,0.03,0.83,0.00,1.00,991109.74,10958.83,66920.43,77879.26,913230.48,991109.74,0.08,0.92,70443.53,0.00,7435.73,913230.48,991109.74,5716.89,263670.13,269387.02,20709.22,487252.74,507961.96,51453.15,162307.61,213760.76,7.34,3.40,991109.74,5716.89,263670.13,269387.02,20709.22,487252.74,507961.96,44017.45,169743.31,213760.76,991109.74,5514.97,0.00,64928.59,0.00,70443.56,303020.16,360891.10,256754.92,0.00,920666.18,0.32,0.68,991109.74,256018.72,735091.02,991109.74,256018.72,735091.02,208425.00,526666.02,0.00,526666.02,1700.85,98687.51,100388.36,2341.20,22691.74,25032.94,125421.30,,,28845.39,,,96575.91,125421.30,0.01,0.67,0.32,1930.39,102599.71,104530.09,2149.46,25487.79,27637.26,132167.35,3752.88,194539.22,198292.10,4294.41,38060.49,42354.90,240647.00,4235.70,159976.82,164212.52,4054.14,40705.03,44759.17,208971.69,5283.53,138752.05,144035.58,3704.75,23738.52,27443.27,171478.85,2963.64,96262.81,99226.46,3390.00,27829.80,31219.80,130446.26,13979.62,217702.75,231682.37,13780.91,89388.74,103169.65,334852.02,25857.69,239334.78,265192.46,23651.36,205874.64,229525.99,494718.46,,,31227.55,,,100939.80,,,56016.58,,,184630.42,,,62331.11,,,146640.57,,,43757.47,,,127721.38,,,31432.26,,,99014.00,,,101314.29,,,233537.73,,,83704.26,,,411014.20
2009Brazil,2009,Brazil,1226283.56,1598397.00,1.74,0.77,0.72,0.05,13803.54,1212480.02,2632.50,0.00,2632.50,64618.78,1145228.74,1209847.52,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.17,0.03,0.80,0.00,1.00,1226283.56,13803.54,67251.28,81054.82,1145228.74,1226283.56,0.07,0.93,72345.86,0.00,8708.95,1145228.74,1226283.56,5599.59,284171.78,289771.37,21624.00,659023.62,680647.62,53831.22,202033.34,255864.57,7.38,3.45,1226283.56,5599.59,284171.78,289771.37,21624.00,659023.62,680647.62,45122.22,210742.34,255864.57,1226283.56,8708.95,0.00,63636.86,0.00,72345.82,388613.75,413157.29,352166.70,0.00,1153937.74,0.34,0.66,1226283.56,366307.75,859975.81,1226283.56,366307.75,859975.81,238520.00,621455.81,0.00,621455.81,5586.16,205273.66,210859.83,5023.60,55132.81,60156.40,271016.23,,,62312.39,,,208703.84,271016.23,0.01,0.65,0.34,3592.84,212258.12,215850.96,4305.82,61708.82,66014.64,281865.61,4607.42,262609.80,267217.22,4089.94,68474.86,72564.80,339782.02,5394.58,156091.04,161485.62,3778.59,40485.07,44263.65,205749.28,3623.45,148507.28,152130.73,3491.50,45891.82,49383.32,201514.05,2177.08,135144.34,137321.41,3364.75,58961.57,62326.32,199647.73,16484.66,179192.85,195677.52,13250.19,97437.20,110687.39,306364.90,23446.54,301497.57,324944.11,22849.14,236388.66,259237.80,584181.91,,,67369.97,,,214495.64,,,117173.54,,,222608.49,,,57016.81,,,148732.47,,,50269.89,,,151244.16,,,90007.80,,,109639.93,,,89276.53,,,217088.38,,,124246.25,,,459935.66
2010-IBrazil,2010-I,Brazil,1272295.27,1997948.00,,0.64,0.60,0.04,14165.47,1258129.79,2465.36,0.00,2465.36,59043.86,1196620.56,1255664.43,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.19,0.03,0.78,0.00,1.00,1272295.27,14165.47,61509.23,75674.70,1196620.56,1272295.27,0.06,0.94,67037.62,0.00,8637.08,1196620.56,1272295.27,9656.77,319356.12,329012.89,32455.29,688467.18,720922.47,33562.64,188797.26,222359.90,5.63,3.28,1272295.27,9656.77,319356.12,329012.89,32455.29,688467.18,720922.47,24925.54,197434.36,222359.90,1272295.27,8637.08,0.00,58400.54,0.00,67037.62,425490.49,404702.41,375064.77,0.00,1205257.66,0.34,0.66,1272295.29,377260.42,895034.85,1272295.27,377260.42,895034.85,253114.00,641920.85,0.00,641920.85,3419.52,130267.07,133686.60,2865.48,32173.41,35038.89,168725.49,,,35838.18,,,132887.30,168725.49,0.01,0.65,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010Brazil,2010,Brazil,1438746.67,2089829.00,1.67,0.69,0.66,0.03,10125.03,1428621.63,2300.24,0.00,2300.24,41647.89,1384673.51,1426321.39,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.19,0.04,0.77,0.00,1.00,1438746.67,10125.03,43948.13,54073.16,1384673.51,1438746.67,0.04,0.96,46722.83,0.00,7350.33,1384673.51,1438746.67,6427.80,307704.51,314132.31,19199.31,742310.83,761510.14,28446.04,334658.17,363104.21,6.27,3.98,1438746.67,6427.80,307704.51,314132.31,19199.31,742310.83,761510.14,21095.72,342008.50,363104.21,1438746.67,7350.33,0.00,39372.50,0.00,46722.83,504620.64,478251.02,409152.18,0.00,1392023.83,0.31,0.69,1438746.67,422039.94,1016706.72,1438746.67,422039.94,1016706.72,288575.00,728131.72,0.00,728131.72,7000.88,252675.39,259676.27,5576.86,61838.83,67415.68,327091.95,,,67611.63,,,259480.32,327091.95,0.01,0.68,0.31,3538.02,304797.62,308335.64,3964.93,71331.25,75296.18,383631.82,4262.00,255934.26,260196.26,3716.01,56580.51,60296.52,320492.78,2610.03,236878.98,239489.01,3476.34,63838.65,67314.99,306804.00,2191.98,185852.02,188044.00,3364.00,71763.73,75127.73,263171.73,4058.36,148745.04,152803.40,3167.39,57151.05,60318.43,213121.83,19921.87,161887.07,181808.94,12960.14,110779.90,123740.04,305548.98,25807.23,404669.74,430476.97,19706.28,390495.64,410201.92,840678.89,,,134422.81,,,249209.00,,,83127.82,,,237364.96,,,57564.72,,,249239.28,,,102753.31,,,160418.42,,,63885.13,,,149236.70,,,83029.82,,,222519.17,,,271814.47,,,568864.43
2011-IBrazil,2011-I,Brazil,1613656.71,2491271.09,,0.65,0.63,0.02,6575.38,1607081.34,2460.63,0.00,2460.63,39630.11,1564990.60,1604620.71,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.14,0.05,0.81,0.00,1.00,1613656.71,6575.38,42090.74,48666.12,1564990.60,1613656.71,0.03,0.97,40960.86,0.00,7705.25,1564990.60,1613656.71,5295.34,277844.66,283139.99,18432.67,871915.36,890348.04,24938.11,415230.58,440168.69,6.18,4.22,1613656.71,5295.34,277844.66,283139.99,18432.67,871915.36,890348.04,17232.86,422935.83,440168.69,1613656.71,7705.25,0.00,33255.61,0.00,40960.86,596937.21,515720.48,460038.15,0.00,1572695.85,0.31,0.69,1613656.71,457142.77,1156513.94,1613656.71,457142.77,1156513.94,335775.00,820738.94,0.00,820738.94,7137.82,172048.15,179185.97,2864.58,37434.62,40299.21,219485.18,,,65183.69,,,154301.49,219485.18,0.00,0.69,0.31,1073.59,169336.34,170409.94,1903.24,40157.51,42060.74,212470.68,3228.30,280796.02,284024.32,3695.56,67199.04,70894.60,354918.92,2225.03,323391.30,325616.32,3487.08,89666.85,93153.93,418770.25,2145.85,218165.39,220311.25,3401.88,86200.13,89602.01,309913.26,4142.13,213565.24,217707.37,3236.43,87626.54,90862.97,308570.34,17238.86,233691.05,250929.91,12679.61,141155.87,153835.47,404765.38,27656.63,469878.42,497535.04,19339.75,462025.81,481365.56,978900.61,,,75223.29,,,137247.39,,,89564.27,,,265354.65,,,89843.67,,,328926.59,,,111874.34,,,198038.91,,,93490.56,,,215079.78,,,102391.77,,,302373.62,,,298270.80,,,680629.80
2011Brazil,2011,Brazil,1395772.70,2208664.73,1.83,0.63,0.61,0.02,3685.35,1392087.35,2482.73,0.00,2482.73,38235.70,1351368.91,1389604.62,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.08,0.06,0.86,0.00,1.00,1395772.70,3685.35,40718.44,44403.79,1351368.91,1395772.70,0.03,0.97,37992.09,0.00,6411.70,1351368.91,1395772.70,5648.24,256305.39,261953.63,15288.25,720288.26,735576.51,23467.30,374775.26,398242.56,6.27,4.30,1395772.70,5648.24,256305.39,261953.63,15288.25,720288.26,735576.51,17055.61,381186.95,398242.56,1395772.70,6411.70,0.00,31580.40,0.00,37992.09,507465.72,415627.07,434687.82,0.00,1357780.61,0.33,0.67,1395772.70,400808.81,994963.89,1395772.70,400808.81,994963.89,352012.00,642951.89,0.00,642951.89,11422.55,334479.32,345901.87,4795.37,73283.63,78079.01,423980.87,,,134868.10,,,289112.77,423980.87,0.00,0.66,0.33,3351.93,246245.65,249597.58,3502.50,56711.68,60214.18,309811.76,2044.93,274388.03,276432.97,3295.30,71762.32,75057.62,351490.59,1907.31,240804.18,242711.50,3218.58,75005.88,78224.46,320935.96,3432.01,198974.75,202406.76,3075.01,72964.75,76039.76,278446.52,3311.76,50908.55,54220.30,2816.10,148365.30,151181.40,205401.71,14416.22,261656.59,276072.81,2583.18,110558.23,113141.41,389214.22,23717.65,370381.88,394099.53,26281.63,401471.23,427752.86,821852.39,,,82642.00,,,227169.76,,,79754.29,,,271736.30,,,116617.59,,,204318.37,,,81620.21,,,196826.30,,,29669.86,,,62618.99,,,108969.80,,,280244.42,,,250765.85,,,571086.54
2012-IBrazil,2012-I,Brazil,1399277.49,2117476.87,,0.66,0.64,0.02,3570.79,1395706.69,2294.96,0.00,2294.96,38189.86,1355221.87,1393411.73,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.08,0.05,0.87,0.00,1.00,1399277.49,3570.79,40484.83,44055.62,1355221.87,1399277.49,0.03,0.97,37233.84,0.00,6821.78,1355221.87,1399277.49,5605.27,307119.24,312724.51,17163.94,670861.25,688025.20,21286.41,377241.38,398527.78,5.93,4.25,1399277.49,5605.27,307119.24,312724.51,17163.94,670861.25,688025.20,14464.63,384063.16,398527.78,1399277.49,6821.78,0.00,30412.06,0.00,37233.84,557938.40,319677.42,484427.83,0.00,1362043.65,0.37,0.63,1399277.49,424310.08,974967.41,1399277.49,424310.08,974967.41,373910.00,601057.41,0.00,601057.41,2473.32,125079.78,127553.10,2189.00,39322.67,41511.67,169064.78,,,47185.13,,,121879.65,169064.78,0.00,0.63,0.37,1613.97,53285.88,54899.85,1686.79,18018.54,19705.32,74605.18,1796.93,251324.47,253121.40,3270.10,70331.91,73602.01,326723.41,1431.64,252624.87,254056.51,3160.95,73101.30,76262.25,330318.76,2743.08,176544.21,179287.28,3012.89,68420.70,71433.59,250720.88,2194.78,104255.35,106450.13,2783.42,49954.10,52737.52,159187.64,11440.56,296196.51,307637.06,11546.39,122888.18,134434.57,442071.63,22545.59,435818.02,458363.61,17165.36,437518.18,454683.53,913047.14,,,17999.76,,,56605.42,,,78791.12,,,247932.29,,,123115.61,,,207203.15,,,77271.47,,,173449.41,,,56265.07,,,102922.57,,,136309.33,,,305762.30,,,296569.69,,,616477.45
2012Brazil,2012,Brazil,1426284.31,2159204.75,2.04,0.66,0.64,0.02,3611.89,1422672.42,2789.41,0.00,2789.41,38265.06,1381617.95,1419883.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.08,0.06,0.86,0.00,1.00,1426284.31,3611.89,41054.47,44666.36,1381617.95,1426284.31,0.03,0.97,44666.36,0.00,0.00,1381617.95,1426284.31,4838.02,277297.81,282135.83,17438.37,686136.23,703574.60,22389.98,418183.91,440573.88,6.10,4.47,1426284.31,4838.02,277297.81,282135.83,17438.37,686136.23,703574.60,22389.98,418183.91,440573.88,1426284.31,6787.68,0.00,37878.68,0.00,44666.36,582843.76,305631.58,493142.60,0.00,1381617.95,0.37,0.63,1426284.31,443663.81,982620.50,1426284.31,443663.81,982620.50,373147.00,609473.50,0.00,609473.50,3387.99,268003.35,271391.34,3589.84,59684.09,63273.93,334665.28,57432.94,20663.02,78095.96,213958.40,42610.91,256569.32,334665.28,0.00,0.63,0.37,1911.46,262361.12,264272.58,3316.75,62301.18,65617.93,329890.52,1560.89,290628.98,292189.87,3206.14,62439.58,65645.72,357835.59,2875.11,195140.20,198015.31,3052.74,60215.92,63268.66,261283.97,2324.03,162111.75,164435.78,2816.37,50890.87,53707.23,218143.02,3638.86,135970.35,139609.21,2608.24,16289.87,18898.12,158507.33,9342.58,249019.47,258362.04,10947.75,114610.40,125558.15,383920.19,22524.29,500523.23,523047.52,15061.29,528719.80,543781.08,1066828.61,,,83109.71,,,329890.52,,,136005.25,,,357835.59,,,76452.55,,,261283.97,,,73331.14,,,218143.02,,,42371.84,,,158507.33,,,122391.04,,,383920.19,,,325880.88,,,1066828.61
2013-IBrazil,2013-I,Brazil,1311264.16,2068609.68,,0.63,0.61,0.02,1184.68,1310079.48,2454.33,0.00,2454.33,37395.67,1270229.48,1307625.16,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.03,0.06,0.91,0.00,1.00,1311264.16,1184.68,39850.00,41034.67,1270229.48,1311264.16,0.03,0.97,41034.67,0.00,0.00,1270229.48,1311264.16,3765.09,241710.72,245475.80,15694.41,615623.14,631317.55,21575.18,412895.63,434470.80,6.31,4.65,1311264.16,3765.09,241710.72,245475.80,15694.41,615623.14,631317.55,21575.18,412895.63,434470.80,1311264.16,6259.78,0.00,34774.89,0.00,41034.67,557838.63,260754.63,451636.12,0.00,1270229.38,0.37,0.63,1311264.05,415082.72,896181.44,1311264.16,415082.72,896181.44,369402.00,526779.44,0.00,526779.44,3805.00,186084.62,189889.62,1828.60,30682.22,32510.82,222400.44,46090.56,9432.99,55523.56,143799.06,23077.83,166876.89,222400.44,0.00,0.63,0.37,425.96,78110.00,78535.96,1506.04,30435.08,31941.12,110477.08,1183.46,281303.53,282486.99,3053.94,60987.34,64041.28,346528.27,2514.18,216365.47,218879.65,2919.55,61003.79,63923.34,282802.99,1919.01,184405.62,186324.63,2707.88,52760.01,55467.89,241792.51,3399.60,148916.75,152316.35,2520.64,20849.66,23370.30,175686.65,8790.37,281182.48,289972.85,10598.76,122737.42,133336.18,423309.03,22442.60,495663.37,518105.97,14489.44,556775.83,571265.27,1089371.24,,,21561.25,,,88915.83,,,133676.00,,,212852.28,,,91445.41,,,191357.58,,,80783.85,,,161008.66,,,51906.72,,,123779.93,,,117508.27,,,305800.76,,,313859.37,,,775511.87
2013Brazil,2013,Brazil,1315165.59,2201643.05,2.34,0.63,0.61,0.02,1303.03,1313862.57,2662.16,0.00,2662.16,36452.60,1274747.80,1311200.40,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.03,0.07,0.90,0.00,1.00,1315165.59,1303.03,39114.76,40417.79,1274747.80,1315165.59,0.03,0.97,40417.79,0.00,0.00,1274747.80,1315165.59,3909.06,288715.56,292624.62,14534.39,600432.60,614966.98,21974.35,385599.65,407573.99,6.43,4.43,1315165.59,3909.06,288715.56,292624.62,14534.39,600432.60,614966.98,21974.35,385599.65,407573.99,1315165.59,5919.80,0.00,34497.99,0.00,40417.79,573340.86,252758.10,448648.84,0.00,1274747.80,0.37,0.63,1315165.59,408989.27,906176.33,1315165.59,408989.27,906176.33,358808.00,547368.33,0.00,547368.33,4084.19,266096.21,270180.40,4259.23,60857.03,65116.26,335296.66,55429.42,17447.10,72876.52,214750.98,47669.16,262420.14,335296.66,0.00,0.63,0.37,1275.52,295375.07,296650.59,4220.26,60050.77,64271.03,360921.62,3128.61,221628.45,224757.07,4136.31,61857.54,65993.85,290750.91,4752.79,173555.89,178308.67,3704.62,51807.39,55512.02,233820.69,3697.34,164910.15,168607.49,3340.46,27154.97,30495.43,199102.93,401.03,111183.87,111584.89,3136.23,34509.69,37645.92,149230.81,11946.78,269900.20,281846.98,13574.45,100373.15,113947.59,395794.57,27691.14,558215.09,585906.23,14231.45,403861.16,418092.61,1003998.84,,,127035.35,,,233886.27,,,92452.76,,,198298.15,,,76731.01,,,157089.68,,,55460.82,,,143642.11,,,31854.63,,,117376.18,,,111774.41,,,284020.17,,,272105.46,,,731893.38
2014-IBrazil,2014-I,Brazil,1454451.98,2428729.17,2.20,0.63,0.61,0.02,1320.18,1453131.80,2757.44,0.00,2757.44,37565.24,1412809.12,1450374.36,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.03,0.07,0.90,0.00,1.00,1454451.98,1320.18,40322.68,41642.86,1412809.12,1454451.98,0.03,0.97,41642.86,0.00,0.00,1412809.12,1454451.98,5634.67,343976.86,349611.52,14472.30,601834.80,616307.10,21535.89,466997.46,488533.35,6.18,4.61,1454451.98,5634.67,343976.86,349611.52,14472.30,601834.80,616307.10,21535.89,466997.46,488533.35,1454451.98,6295.69,0.00,35347.17,0.00,41642.86,611162.47,274344.29,527302.36,0.00,1412809.12,0.39,0.61,1454451.98,454240.62,1000211.36,1454451.98,454240.62,1000211.36,373516.00,626695.36,0.00,626695.36,1078.02,175071.71,176149.73,1663.26,31037.45,32700.71,208850.44,54444.99,10674.40,65119.40,121704.74,22026.31,143731.04,208850.44,0.00,0.63,0.37,842.39,159648.53,160490.92,2056.93,37786.77,39843.70,200334.63,3175.63,251580.45,254756.08,4221.10,72441.14,76662.24,331418.32,4904.92,213893.74,218798.66,3785.50,64134.79,67920.29,286718.95,3701.41,176663.71,180365.12,3417.14,34836.41,38253.55,218618.68,482.97,154791.67,155274.64,3214.59,54107.38,57321.97,212596.60,15399.34,384700.15,400099.49,13727.44,141152.44,154879.88,554979.37,27448.62,657363.44,684812.06,13979.48,428486.51,442465.99,1127278.04,55720.14,15731.46,71451.60,104770.78,24112.25,128883.03,76533.16,23432.92,99966.08,178222.92,53229.32,231452.24,77447.39,23666.39,101113.78,141351.27,44253.90,185605.17,51219.21,9242.72,60461.92,129145.92,29010.84,158156.75,43660.77,13064.06,56724.83,111613.87,44257.91,155871.77,132279.98,38467.02,170747.00,267819.51,116412.86,384232.37,173919.82,118997.41,292917.23,510892.24,323468.57,834360.82
2014Brazil,2014,Brazil,1285045.70,2078629.65,2.66,0.63,0.61,0.02,1329.61,1283716.09,2335.95,0.00,2335.95,38608.03,1242772.11,1281380.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.03,0.06,0.91,0.00,1.00,1285045.70,1329.61,40943.98,42273.59,1242772.11,1285045.70,0.03,0.97,42273.59,0.00,0.00,1242772.11,1285045.70,5084.97,277339.80,282424.77,14541.62,599169.73,613711.35,22647.01,366262.57,388909.58,6.34,4.38,1285045.70,5084.97,277339.80,282424.77,14541.62,599169.73,613711.35,22647.01,366262.57,388909.58,1285045.70,5219.79,0.00,37053.80,0.00,42273.59,574310.10,228994.89,439467.12,0.00,1242772.11,0.37,0.63,1285045.70,420691.30,864354.40,1285045.70,420691.30,864354.40,363551.00,500803.40,0.00,500803.40,1888.06,278619.42,280507.48,2645.67,59731.32,62376.98,342884.47,90752.70,22567.94,113320.63,189754.79,39809.05,229563.83,342884.47,0.00,0.63,0.37,2346.27,231396.80,233743.07,4237.20,70520.21,74757.41,308500.47,1641.37,208216.31,209857.68,3804.06,65721.48,69525.54,279383.22,3011.71,146368.02,149379.72,3448.42,36172.72,39621.14,189000.86,753.22,168845.25,169598.47,3239.56,62696.78,65936.33,235534.80,2976.25,56434.45,59410.70,3155.71,42948.47,46104.19,105514.88,15540.20,392982.77,408522.98,14498.00,132724.21,147222.22,555745.19,14705.26,591405.95,606111.21,12434.63,399788.87,412223.50,1018334.71,68132.88,23711.40,91844.28,165610.19,51046.00,216656.20,81538.62,25661.54,107200.16,128319.07,43864.00,172183.06,42045.64,10933.97,52979.61,107334.09,28687.17,136021.25,57820.07,19357.96,77178.03,111778.39,46578.38,158356.77,17598.83,14203.27,31802.10,41811.87,31900.92,73712.79,148922.38,46321.70,195244.08,259600.60,100900.51,360501.11,161864.36,103327.67,265192.03,444246.85,308895.83,753142.68
2015-IBrazil,2015-I,Brazil,1194838.38,1830692.44,3.10,0.63,0.61,0.02,1310.39,1193527.98,1985.27,0.00,1985.27,35792.73,1155749.99,1191542.72,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.03,0.05,0.92,0.00,1.00,1194838.38,1310.39,37778.00,39088.39,1155749.99,1194838.38,0.03,0.97,39088.39,0.00,0.00,1155749.99,1194838.38,4092.06,233012.82,237104.87,13097.48,527644.02,540741.50,21898.86,395093.15,416992.01,6.54,4.76,1194838.38,4092.06,233012.82,237104.87,13097.48,527644.02,540741.50,21898.86,395093.15,416992.01,1194838.38,4468.30,0.00,34620.09,0.00,39088.39,536724.18,227804.09,391221.71,0.00,1155749.99,0.36,0.64,1194838.38,362086.94,832751.43,1194838.38,362086.94,832751.43,368668.00,464083.43,0.00,464083.43,2084.62,132137.52,134222.14,1331.05,34784.48,36115.53,170337.67,32475.61,10793.68,43269.29,101746.53,25321.85,127068.38,170337.67,0.00,0.63,0.37,353.43,102268.68,102622.11,1273.12,28539.67,29812.78,132434.89,1501.68,198218.31,199719.99,3246.11,60399.72,63645.83,263365.81,2997.61,143388.21,146385.82,4366.60,38560.74,42927.35,189313.17,697.14,143849.98,144547.12,1760.67,60210.00,61970.67,206517.79,2992.06,91068.81,94060.88,3642.61,52629.17,56271.77,150332.65,9881.64,424864.56,434746.20,11358.72,156985.06,168343.78,603089.98,19592.69,552191.73,571784.42,10126.19,368128.11,378254.29,950038.72,26217.92,9712.86,35930.78,76404.19,20099.92,96504.11,70611.27,22099.30,92710.57,129108.72,41546.53,170655.24,43229.54,11114.63,54344.17,103156.28,31812.72,134969.00,49312.07,17412.01,66724.08,95235.04,44558.66,139793.70,22049.62,15361.02,37410.64,72011.25,40910.76,112922.01,134629.04,46567.26,181196.30,300117.16,121776.52,421893.69,153122.29,98967.15,252089.44,418662.13,279287.14,697949.27
