Latitude,Longitude,Keywords,Object_ID
34.53424714,69.20229077,Education/Training,9
34.55721908,69.03834343,Education/Training,9
34.5263586,69.0729332,Education/Training,9
34.5269243,69.07314777,Education/Training,9
34.51320495,69.1176939,Education/Training,9
34.51178162,69.117769,Education/Training,9
34.4728117,69.12408829,Elections,15
34.51301046,69.13228512,Elections,10
34.5129751,69.13273573,Elections,10
34.51216177,69.13285375,Elections,10
34.4896505,69.13816452,Elections,10
34.5012694,69.13930178,Elections,10
34.49871409,69.14019227,Elections,10
34.54184329,69.20313835,Elections,10
34.54373449,69.20584202,Elections,10
34.55520448,69.20700073,Elections,10
34.50476626,69.11472738,Government,15
34.47221025,69.11850929,Government,15
34.50655662,69.12168503,Government,15
34.53116694,69.12228584,Government,15
34.47132576,69.12340164,Government,15
34.47672101,69.12432432,Government,15
34.51391219,69.13275719,Government,15
34.51419509,69.13292885,Government,15
34.48888999,69.13554668,Government,15
34.50089805,69.14194107,Government,15
34.49746735,69.1431427,Government,15
34.54854183,69.15563107,Government,15
34.5424619158792\,69.16588783,Government,15
34.54219679,69.16618824,Government,15
34.53565683,69.19579983,Government,15
34.55011476,69.20279503,Government,15
34.54467124,69.20485497,Government,15
34.53484372,69.20502663,Government,15
34.55640618,69.20700073,Government,15
34.55969308,69.03779626,Government,15
34.50476626,69.11510289,Government Criticism,16
34.50666272,69.11904573,Government Criticism,16
34.58004776,69.12627697,Government Criticism,16
34.51136611,69.13253188,Government Criticism,16
34.51384147,69.13275719,Government Criticism,16
34.51440725,69.13284302,Government Criticism,16
34.51568026,69.14245605,Government Criticism,16
34.50814803,69.23034668,Government Criticism,16
34.52890423,69.11745787,Islam,19
34.52197428,69.11962509,Islam,19
"34.4693090879636,",69.12224293,Islam,19
34.47113117,69.12374496,Islam,19
34.47394383,69.12554741,Islam,19
34.5156449,69.12634134,Islam,19
34.47638492,69.12775218,Islam,19
34.48917297,69.13711309,Islam,19
34.49248021,69.13767099,Islam,19
34.49274549,69.13773537,Islam,19
34.49148982,69.13897991,Islam,19
34.49485003,69.13910866,Islam,19
34.49375355,69.14048195,Islam,19
34.50648589,69.15434361,Islam,19
34.5568303,69.15987968,Islam,19
34.56613397,69.16870952,Islam,19
34.52911636,69.17005062,Islam,19
34.5389799,69.1708231,Islam,19
34.5200859,69.17568862,Islam,19
34.53480837,69.1789341,Islam,19
34.51912789,69.18199182,Islam,19
34.53618712,69.18515682,Islam,19
34.53629318,69.18541431,Islam,19
34.53632853,69.18588638,Islam,19
34.52968204,69.19326782,Islam,19
34.55029149,69.19867516,Islam,19
34.53511329,69.20325637,Islam,19
34.53470231,69.20528412,Islam,19
34.54742839,69.02207851,Islam,19
34.52536861,69.07310486,Islam,19
34.52200964,69.07786846,Islam,19
34.49587574,69.13516045,Israel,20
34.51183466,69.16394591,Israel,20
34.51009303,69.11417484,Love,23
34.47612401,69.12756979,Love,23
34.51176394,69.12920594,Love,23
34.51559186,69.13256407,Love,23
34.4664432,69.13928032,Love,23
34.47142306,69.146474,Love,23
34.54984083,69.16291595,Love,23
34.54984966,69.16292667,Love,23
34.53102552,69.16571617,Love,23
34.53256343,69.16631699,Love,23
34.52805569,69.17009354,Love,23
34.53867942,69.17037249,Love,23
34.53212151,69.17133808,Love,23
34.51997651,69.17509317,Love,23
34.51911905,69.17539358,Love,23
34.51870357,69.17610168,Love,23
34.52114336,69.18210983,Love,23
34.54368147,69.19996262,Love,23
34.50828948,69.22026157,Love,23
34.50500055,69.22094822,Love,23
34.50694563,69.22523975,Love,23
34.50160539,69.14614677,Love,23
34.51338176,69.13267136,Mafia,35
34.54286844,69.16522264,Mafia,35
34.52847996,69.1129303,Martyr,25
34.50478836,69.11644936,Martyr,25
34.53880315,69.12151337,Martyr,25
"34.4696275134267,",69.12250042,Martyr,25
34.50549567,69.12657738,Martyr,25
34.47564199,69.12700653,Martyr,25
