LocationID,Latitude,Longitude,Tags
20151207-MSDROP-02-C-313,35.94277778,39.02694444,HeritageSite
20151207-MSDROP-02-C-314,35.95025,39.01922222,
20151207-MSDROP-02-C-315,35.94861111,39.01261111,Propaganda
20151207-MSDROP-02-C-316,35.94861111,39.01261111,
20151207-MSDROP-02-C-317,35.94861111,39.01261111,
20151207-MSDROP-02-C-318,35.95205556,39.0105,BusinessTakeover
20151208-MSDROP-02-C-319,35.94572222,39.00719444,
20151208-MSDROP-02-C-320,35.93819444,39.01308333,ForeignFighter InternetCafe
20151208-MSDROP-02-C-321,35.95344444,39.00597222,
20151208-MSDROP-02-C-322,35.94855556,39.01372222,InternetCafe
20151208-MSDROP-02-C-325,35.85897222,38.55975,ForeignFighter ISILMilitia
20151208-MSDROP-02-C-326,35.85897222,38.55975,
20151208-MSDROP-02-C-327,35.94630556,39.01330556,
20151208-MSDROP-02-C-328,35.85169444,38.55480556,ForeignFighter ISILMilitia
20151208-MSDROP-02-C-329,35.95255556,39.01002778,ISILRuleNegative
20151209-MSDROP-02-C-344,35.95372222,38.98455556,
20151209-MSDROP-02-C-345,35.85169444,38.55480556,
20151209-MSDROP-02-C-346,35.96425,38.99333333,
20151209-MSDROP-02-C-347,35.75233333,39.61716667,
20151209-MSDROP-02-C-349,35.95847222,39.01777778,
20151218-MSDROP-02-C-389,35.94861111,39.01261111,
20151218-MSDROP-02-C-390,35.95027778,39.02694444,HeritageSite DisrespectToCulturalSites
20151218-MSDROP-02-C-391,35.94844444,39.01722222,ISILRuleNegative
20151218-MSDROP-02-C-392,35.94583333,39.01176389,ISILRuleNegative
20151218-MSDROP-02-C-393,35.96255,39.01391111,
20151218-MSDROP-02-C-394,35.95091667,39.01072222,ISILMilitia
20151218-MSDROP-02-C-395,35.94861111,39.01261111,
20151218-MSDROP-02-C-396,35.94583333,39.01176389,
20151222-MSDROP-02-C-410,35.94913889,39.01325,ISILRuleNegative
20151222-MSDROP-02-C-411,35.95535833,39.00436111,
20160104-MSDROP-02-C-453,35.94761111,39.01322222,
20160104-MSDROP-02-C-454,35.95013889,39.01413889,RussianAirstrike
20160105-MSDROP-02-C-456,35.95461389,39.00938333,ISILMilitia
20160107-MSDROP-02-C-462,35.94711111,39.00772222,BusinessTakeover
20160107-MSDROP-02-C-463,35.94711111,39.00772222,ISILRuleNegative
20160107-MSDROP-02-C-464,35.94647222,39.01302778,ISILRuleNegative
20160107-MSDROP-02-C-465,35.95025,39.01922222,
20160107-MSDROP-02-C-466,35.95919444,38.98905556,
20160107-MSDROP-02-C-467,35.95008333,39.00233333,ISILMilitia
20160107-MSDROP-02-C-468,35.95535833,39.00436111,ISILRuleNegative
20160107-MSDROP-02-C-469,35.95691667,39.00355556,
20160107-MSDROP-02-C-470,35.93477778,38.99077778,ChildLabor ISILRuleNegative
20160107-MSDROP-02-C-471,35.929,39.13283333,
20160107-MSDROP-02-C-472,35.942,39.03213889,ChildLabor
20160107-MSDROP-02-C-473,35.94277778,39.02694444,HeritageSite
20160107-MSDROP-02-C-474,35.9335,39.01083333,RussianAirstrike
20160107-MSDROP-02-C-475,35.95461389,39.00938333,
20160107-MSDROP-02-C-476,35.956,39.02166667,HeritageSite DisrespectToCulturalSites
20160107-MSDROP-02-C-477,35.95025,39.01922222,
20160107-MSDROP-02-C-478,35.947,39.01263889,BusinessTakeover
20160107-MSDROP-02-C-479,35.96691667,39.02477778,WasteIssues
20160107-MSDROP-02-C-480,35.95888889,38.9975,CoalitionAirstrike
20160107-MSDROP-02-C-481,35.95535833,39.00436111,
20160107-MSDROP-02-C-482,35.95461389,39.00938333,RussianAirstrike
20160107-MSDROP-02-C-483,35.95336111,39.01116667,ForeignFighter ISILMilitia
20160107-MSDROP-02-C-484,35.94747222,39.01697222,
20160107-MSDROP-02-C-485,35.947,39.01263889,
20160107-MSDROP-02-C-486,35.94913889,39.01325,BusinessImpact
20160107-MSDROP-02-C-487,35.947,39.01263889,ISILMilitia
20160108-MSDROP-02-C-492,35.94711111,39.01263889,ISILRuleNegative
20160108-MSDROP-02-C-493,35.95535833,39.00436111,BusinessTakeover
20160108-MSDROP-02-C-494,35.956,38.99972222,ISILRuleNegative
20160108-MSDROP-02-C-495 ,35.94975,39.01136111,CoalitionAirstrike
20160108-MSDROP-02-C-496,35.95461389,39.00938333,
20160108-MSDROP-02-C-497,35.94847222,39.00477778,BusinessTakeover ISILRuleNegative
20160108-MSDROP-02-C-498,35.94813889,39.01125,
20160108-MSDROP-02-C-499,35.94994444,39.01122222,
20160108-MSDROP-02-C-500,35.94961111,39.01038889,
20160108-MSDROP-02-C-501,35.956125,39.01223611,ISILMilitia
20160108-MSDROP-02-C-502,35.94711111,39.01263889,
20160108-MSDROP-02-C-503,35.95063889,39.00605556,CoalitionAirstrike
20160108-MSDROP-02-C-504,35.95025,39.01233333,
20160109-MSDROP-02-C-505,35.95535833,39.00436111,BusinessTakeover ISILRuleNegative WasteIssues
20160109-MSDROP-02-C-506,35.95461389,39.00938333,ForeignFighter BusinessImpact ISILRuleNegative
20160109-MSDROP-02-C-507,35.95336111,39.01116667,
20160109-MSDROP-02-C-508,35.95616667,39.00408333,ISILMilitia
20160109-MSDROP-02-C-509,35.95025,39.01233333,ISILRuleNegative
20160109-MSDROP-02-C-510,35.95025,39.01233333,
20160109-MSDROP-02-C-511,35.95336111,39.01116667,ISILMilitia
20160125-MSDROP-02-C-566,35.947,39.01263889,ForeignFighter
20160125-MSDROP-02-C-568,35.94602778,39.01475,RussianAirstrike
20160125-MSDROP-02-C-569,35.95461389,39.00938333,CoalitionAirstrike ISILMilitia
20160125-MSDROP-02-C-570,35.95038889,39.01777778,ChildLabor ISILRuleNegative
20160125-MSDROP-02-C-571,35.95535833,39.00436111,
20160125-MSDROP-02-C-572,35.94747222,39.01697222,ISILRuleNegative
20160125-MSDROP-02-C-573,35.94252778,39.02975,ISILRuleNegative
20160125-MSDROP-02-C-574,35.95336111,39.01116667,ISILMilitia
20160125-MSDROP-02-C-575,35.95038889,39.01777778,
20160125-MSDROP-02-C-576,35.95038889,39.01777778,ChildLabor ISILRuleNegative
20160125-MSDROP-02-C-577,35.947,39.01263889,
20160128-MSDROP-02-C-586 (TEST NO GEOSETTER),35.96447222,39.01033333,ISILRuleNegative
20160128-MSDROP-02-C-587,35.93744444,39.00844444,ISILRuleNegative
20160128-MSDROP-02-C-588,35.93744444,39.00844444,ChildLabor ISILRuleNegative
20160128-MSDROP-02-C-589,35.96447222,39.01033333,Propaganda
20160128-MSDROP-02-C-590,35.94611111,39.01436111,
20160128-MSDROP-02-C-591,35.94847222,39.00644444,ISILMilitia
20160128-MSDROP-02-C-592,35.94747222,39.01697222,
20160128-MSDROP-02-C-593,35.94252778,39.02975,
20160129-MSDROP-02-C-594,35.93744444,39.00844444,WasteIssues ISILRuleNegative
20160129-MSDROP-02-C-595,35.94613889,39.01416667,BusinessImpact
20160129-MSDROP-02-C-596,35.94838889,39.01652778,RoadIssues
20160201-MSDROP-02-C-601,35.96355556,39.01327778,Propaganda
20160201-MSDROP-02-C-602,35.91013889,38.95083333,
20160201-MSDROP-02-C-603,35.94041667,39.01152778,BusinessTakeover
20160201-MSDROP-02-C-604,35.93213889,39.01094444,
20160201-MSDROP-02-C-605,35.94861111,39.00541667,ISILRuleNegative
20160201-MSDROP-02-C-606,35.95497222,38.99211111,
20160201-MSDROP-02-C-607,35.9495,39.00936111,ISILRuleNegative
