Latitude,Longitude,Political Assoc,Object_ID
34.55668893,69.16035175,Education,6
34.56377502,69.16876316,Education,6
34.56605445,69.17045832,Education,6
34.53060127,69.17103767,Education,6
34.51888037,69.17568326,Education,6
34.5194196,69.17644501,Education,6
34.52018867,69.18074191,Education,6
34.51999419,69.18107986,Education,6
34.52013563,69.18571472,Education,6
34.51306351,69.19120789,Education,6
34.53471115,69.2012018,Education,6
34.53486582,69.20142174,Education,6
34.53424714,69.20229077,Education,6
34.50942113,69.22498226,Education,6
34.55721908,69.03834343,Education,6
34.5263586,69.0729332,Education,6
34.52536861,69.07310486,Education,6
34.5269243,69.07314777,Education,6
34.51320495,69.1176939,Education,6
34.51225901,69.11774755,Education,6
34.51178162,69.117769,Education,6
34.52825015,69.11702871,Environment,7
"34.4683891853569,",69.12147045,Environment,7
34.46948599,69.12237167,Environment,7
34.47136114,69.12387371,Environment,7
34.51187887,69.12814379,Environment,7
34.47781771,69.12977457,Environment,7
34.49967787,69.13634062,Environment,7
34.49276318,69.14000988,Environment,7
34.50429324,69.14443016,Environment,7
34.50524811,69.14919376,Environment,7
34.50616761,69.14992332,Environment,7
34.53266949,69.16504025,Environment,7
34.53155584,69.17284012,Environment,7
34.52298199,69.17321563,Environment,7
34.52269028,69.17458892,Environment,7
34.52112568,69.17797923,Environment,7
34.52067485,69.17907894,Environment,7
34.52551004,69.1890192,Environment,7
34.56273246,69.1945982,Environment,7
34.5325104,69.12074089,Health and Athleticism,8
34.53385383,69.12280083,Health and Athleticism,8
34.50181317,69.14036393,Health and Athleticism,8
34.50192369,69.14127588,Health and Athleticism,8
34.49785641,69.14571762,Health and Athleticism,8
34.50471763,69.14640427,Health and Athleticism,8
34.53648761,69.14696217,Health and Athleticism,8
34.50089805,69.14824963,Health and Athleticism,8
34.50906749,69.15086746,Health and Athleticism,8
34.50931504,69.15151119,Health and Athleticism,8
34.50763966,69.15154874,Health and Athleticism,8
34.50648589,69.15339947,Health and Athleticism,8
34.50584932,69.15400028,Health and Athleticism,8
34.56543601,69.16869879,Health and Athleticism,8
34.51928701,69.17539358,Health and Athleticism,8
34.51953452,69.17667568,Health and Athleticism,8
34.52054226,69.1783762,Health and Athleticism,8
34.53123765,69.17876244,Health and Athleticism,8
34.51978646,69.17963684,Health and Athleticism,8
34.52055994,69.18056488,Health and Athleticism,8
34.51994115,69.181391,Health and Athleticism,8
34.51956988,69.18279648,Health and Athleticism,8
34.53668205,69.19210911,Health and Athleticism,8
34.53657599,69.19223785,Health and Athleticism,8
34.53657599,69.19232368,Health and Athleticism,8
34.53646994,69.19249535,Health and Athleticism,8
34.51780189,69.19416904,Health and Athleticism,8
34.55333122,69.03466344,Health and Athleticism,8
34.52197428,69.11962509,Islam,9
34.47113117,69.12374496,Islam,9
34.47394383,69.12554741,Islam,9
34.47638492,69.12775218,Islam,9
34.48917297,69.13711309,Islam,9
34.49248021,69.13767099,Islam,9
34.49274549,69.13773537,Islam,9
34.49704293,69.13872242,Islam,9
34.49148982,69.13897991,Islam,9
34.49375355,69.14048195,Islam,9
34.50577859,69.141469,Islam,9
34.50648589,69.15434361,Islam,9
34.5568303,69.15987968,Islam,9
34.54987617,69.16292667,Islam,9
34.56613397,69.16870952,Islam,9
34.52911636,69.17005062,Islam,9
34.5200859,69.17568862,Islam,9
34.51961408,69.17697072,Islam,9
34.53480837,69.1789341,Islam,9
34.53618712,69.18515682,Islam,9
34.53629318,69.18541431,Islam,9
34.53632853,69.18588638,Islam,9
34.53511329,69.20325637,Islam,9
34.54071209,69.20399666,Islam,9
34.53470231,69.20528412,Islam,9
34.56025855,69.03846145,Islam,9
34.52200964,69.07786846,Islam,9
34.52703037,69.11245823,Narcotic  or Anti-Drug,11
34.50482372,69.11505461,Narcotic  or Anti-Drug,11
34.53491443,69.11640644,Narcotic  or Anti-Drug,11
34.46860147,69.12185669,Narcotic  or Anti-Drug,11
34.50165402,69.13198471,Narcotic  or Anti-Drug,11
34.4948854,69.13464546,Narcotic  or Anti-Drug,11
34.50077426,69.14174795,Narcotic  or Anti-Drug,11
34.49874062,69.14198399,Narcotic  or Anti-Drug,11
34.54803813,69.15632844,Narcotic  or Anti-Drug,11
34.54740188,69.15741205,Narcotic  or Anti-Drug,11
34.55368467,69.16369915,Narcotic  or Anti-Drug,11
34.5302654,69.16462183,Narcotic  or Anti-Drug,11
34.51951684,69.17414904,Narcotic  or Anti-Drug,11
34.51936656,69.1742456,Narcotic  or Anti-Drug,11
34.5193312,69.17428851,Narcotic  or Anti-Drug,11
34.51854445,69.17486787,Narcotic  or Anti-Drug,11
34.51964944,69.17511463,Narcotic  or Anti-Drug,11
34.51956104,69.17521119,Narcotic  or Anti-Drug,11
34.53222757,69.17532921,Narcotic  or Anti-Drug,11
34.51926049,69.17535603,Narcotic  or Anti-Drug,11
34.51984391,69.17553306,Narcotic  or Anti-Drug,11
34.51983508,69.17555451,Narcotic  or Anti-Drug,11
34.51795217,69.17594075,Narcotic  or Anti-Drug,11
34.51915883,69.17657375,Narcotic  or Anti-Drug,11
34.51958756,69.17664886,Narcotic  or Anti-Drug,11
34.51881849,69.17665958,Narcotic  or Anti-Drug,11
34.51845605,69.1769278,Narcotic  or Anti-Drug,11
34.51841185,69.17703509,Narcotic  or Anti-Drug,11
34.51972016,69.17705655,Narcotic  or Anti-Drug,11
34.52068369,69.17811871,Narcotic  or Anti-Drug,11
34.52048922,69.17869806,Narcotic  or Anti-Drug,11
34.52078093,69.17877316,Narcotic  or Anti-Drug,11
34.51956988,69.17953491,Narcotic  or Anti-Drug,11
34.52061297,69.18024838,Narcotic  or Anti-Drug,11
34.51987485,69.1814661,Narcotic  or Anti-Drug,11
34.51985275,69.18210983,Narcotic  or Anti-Drug,11
34.51971132,69.18382645,Narcotic  or Anti-Drug,11
34.52084281,69.18691635,Narcotic  or Anti-Drug,11
34.52063065,69.1873455,Narcotic  or Anti-Drug,11
34.53371242,69.20082092,Narcotic  or Anti-Drug,11
34.53982833,69.2010355,Narcotic  or Anti-Drug,11
34.5353254,69.20160949,Narcotic  or Anti-Drug,11
34.53584243,69.20200109,Narcotic  or Anti-Drug,11
34.53542704,69.20228541,Narcotic  or Anti-Drug,11
34.5255454,69.20245171,Narcotic  or Anti-Drug,11
34.53569219,69.20342803,Narcotic  or Anti-Drug,11
34.53513096,69.20372307,Narcotic  or Anti-Drug,11
34.53551542,69.20392156,Narcotic  or Anti-Drug,11
34.5354403,69.20405567,Narcotic  or Anti-Drug,11
34.52199196,69.10108566,Pro-Government,12
34.50476626,69.11472738,Pro-Government,12
34.50439934,69.11610603,Pro-Government,12
34.50744074,69.12348747,Pro-Government,12
34.47672101,69.12432432,Pro-Government,12
34.47344852,69.12537575,Pro-Government,12
34.5726892,69.12548304,Pro-Government,12
34.50500055,69.12816525,Pro-Government,12
34.51456638,69.13039148,Pro-Government,12
34.51301046,69.13228512,Pro-Government,12
34.51391219,69.13275719,Pro-Government,12
34.51216177,69.13285375,Pro-Government,12
34.51419509,69.13292885,Pro-Government,12
34.51456638,69.13342237,Pro-Government,12
34.50477952,69.1355145,Pro-Government,12
34.50477952,69.1355145,Pro-Government,12
34.48888999,69.13554668,Pro-Government,12
34.56361598,69.13674831,Pro-Government,12
34.49263938,69.13801432,Pro-Government,12
34.4896505,69.13816452,Pro-Government,12
34.5012694,69.13930178,Pro-Government,12
34.49871409,69.14019227,Pro-Government,12
34.51568026,69.14245605,Pro-Government,12
34.51026985,69.14494514,Pro-Government,12
34.51057044,69.15274501,Pro-Government,12
34.54854183,69.15563107,Pro-Government,12
34.55154628,69.16327,Pro-Government,12
34.56621348,69.16704655,Pro-Government,12
34.53565683,69.19579983,Pro-Government,12
34.53548007,69.1962719,Pro-Government,12
34.52968204,69.19901848,Pro-Government,12
34.53289929,69.20060635,Pro-Government,12
34.54184329,69.20313835,Pro-Government,12
34.55209413,69.20459747,Pro-Government,12
34.53484372,69.20502663,Pro-Government,12
34.54373449,69.20584202,Pro-Government,12
34.50970404,69.22687054,Pro-Government,12
