Latitude,Longitude,Social Value,Object_ID
34.53314677,69.10267353,Negative,1
34.53074269,69.10237312,Negative,1
34.52946991,69.10938525,Negative,1
34.52946991,69.11018372,Negative,1
34.52876281,69.11190033,Negative,1
34.53223641,69.11270499,Negative,1
34.52847996,69.1129303,Negative,1
34.51069421,69.1134882,Negative,1
34.50477068,69.11463082,Negative,1
34.50477952,69.1148293,Negative,1
34.51062348,69.11584854,Negative,1
34.50567244,69.11754377,Negative,1
34.50786511,69.11872387,Negative,1
34.50630907,69.11876678,Negative,1
34.5308134,69.11885262,Negative,1
34.52264609,69.11902428,Negative,1
34.50666272,69.11904573,Negative,1
34.50477068,69.11908865,Negative,1
34.51023449,69.12074089,Negative,1
34.53880315,69.12151337,Negative,1
34.46870761,69.12185669,Negative,1
34.46980442,69.122715,Negative,1
34.47182108,69.12451744,Negative,1
34.58004776,69.12627697,Negative,1
34.51589243,69.1269207,Negative,1
34.51191423,69.12715673,Negative,1
"34.5169886074523,",69.12752151,Negative,1
34.53360636,69.12782192,Negative,1
34.51179046,69.12923813,Negative,1
34.57469454,69.12953854,Negative,1
34.50231273,69.13146973,Negative,1
34.50165402,69.13198471,Negative,1
34.48271729,69.13237095,Negative,1
34.51136611,69.13253188,Negative,1
34.51394755,69.13260698,Negative,1
34.51370002,69.13267136,Negative,1
34.48328328,69.13275719,Negative,1
34.51440725,69.13284302,Negative,1
34.51884501,69.13286448,Negative,1
"34.5169178865219,",69.13365841,Negative,1
34.48597172,69.13468838,Negative,1
34.49587574,69.13516045,Negative,1
34.49796251,69.13672686,Negative,1
34.48917297,69.13711309,Negative,1
34.50719319,69.13799286,Negative,1
34.49060554,69.13799286,Negative,1
34.57639065,69.1384542,Negative,1
34.49108305,69.13865805,Negative,1
34.50538957,69.1386795,Negative,1
34.49148982,69.13897991,Negative,1
34.49216187,69.13932323,Negative,1
34.49605259,69.13936615,Negative,1
34.493223,69.14031029,Negative,1
34.49849304,69.14116859,Negative,1
34.50850167,69.14116859,Negative,1
34.55124584,69.14228439,Negative,1
34.51568026,69.14245605,Negative,1
34.55103376,69.14262772,Negative,1
34.49771493,69.14378643,Negative,1
34.55103376,69.14417267,Negative,1
34.46511637,69.14721966,Negative,1
34.47057836,69.14756835,Negative,1
34.50358592,69.1484642,Negative,1
34.5046469,69.14872169,Negative,1
34.50661409,69.15121078,Negative,1
34.56418143,69.15327072,Negative,1
34.50436397,69.15412903,Negative,1
34.55760786,69.15593147,Negative,1
34.54649168,69.15923595,Negative,1
34.5498585,69.16291595,Negative,1
34.54286844,69.16522264,Negative,1
34.5424619158792\,69.16588783,Negative,1
34.53063662,69.16751862,Negative,1
34.56613397,69.16870952,Negative,1
34.53867942,69.17037249,Negative,1
34.51884501,69.17232513,Negative,1
34.51803173,69.17259336,Negative,1
34.51690021,69.17284012,Negative,1
34.53834358,69.17292595,Negative,1
34.54058395,69.17351067,Negative,1
34.53233363,69.17382717,Negative,1
34.51986159,69.17412758,Negative,1
34.52003839,69.17488933,Negative,1
34.51907485,69.17574763,Negative,1
34.51795217,69.17594075,Negative,1
34.51915883,69.17657375,Negative,1
34.51881849,69.17665958,Negative,1
34.51963176,69.17689562,Negative,1
34.52112568,69.17797923,Negative,1
34.51850909,69.17850494,Negative,1
34.54129537,69.1960144,Negative,1
34.51430117,69.19734478,Negative,1
34.51430117,69.19734478,Negative,1
34.52699501,69.20339584,Negative,1
34.53550658,69.20359969,Negative,1
34.55428553,69.20614243,Negative,1
34.50828948,69.22026157,Negative,1
34.50694563,69.22523975,Negative,1
34.50814803,69.23034668,Negative,1
34.52736625,69.09697652,Negative,1
34.51387683,69.11781192,Negative,1
34.51169321,69.11782265,Negative,1
34.51417298,69.11783874,Negative,1
34.52152788,69.10034001,Neutral,2
34.52174445,69.1007638,Neutral,2
34.52116104,69.100914,Neutral,2
34.52146158,69.10106421,Neutral,2
34.52174887,69.10106421,Neutral,2
34.52386593,69.10115004,Neutral,2
34.52301735,69.10123587,Neutral,2
34.52618182,69.1014719,Neutral,2
