Latitude	Longitude	Language	Object_ID
34.52904565	69.10245895	Farsi	3
34.53003559	69.12031174	Farsi	3
34.53063662	69.10421848	Farsi	3
34.53102552	69.11061287	Farsi	3
34.5325104	69.12074089	Farsi	3
34.53314677	69.10267353	Farsi	3
34.53342959	69.12503242	Farsi	3
34.52607575	69.09653664	Farsi	3
34.52152788	69.10034001	Farsi	3
34.52303503	69.10065651	Farsi	3
34.52174445	69.1007638	Farsi	3
34.52116104	69.100914	Farsi	3
34.52174887	69.10106421	Farsi	3
34.52146158	69.10106421	Farsi	3
34.52199196	69.10108566	Farsi	3
34.52386593	69.10115004	Farsi	3
34.52301735	69.10123587	Farsi	3
34.52618182	69.1014719	Farsi	3
34.52694198	69.10164356	Farsi	3
34.53074269	69.10237312	Farsi	3
34.5308134	69.10245895	Farsi	3
34.52720715	69.10524845	Farsi	3
34.52441397	69.10756588	Farsi	3
34.52946991	69.10938525	Farsi	3
34.52946991	69.11018372	Farsi	3
34.52388361	69.11151409	Farsi	3
34.5346316	69.11168575	Farsi	3
34.52703037	69.11245823	Farsi	3
34.52847996	69.1129303	Farsi	3
34.50966867	69.11327362	Farsi	3
34.53152048	69.11327362	Farsi	3
34.53400409	69.11385298	Farsi	3
34.51009303	69.11417484	Farsi	3
34.53328818	69.11428213	Farsi	3
34.53312025	69.11429286	Farsi	3
34.53279323	69.11433578	Farsi	3
34.53231595	69.11440551	Farsi	3
34.50477068	69.11463082	Farsi	3
34.50476626	69.11472738	Farsi	3
34.50477952	69.1148293	Farsi	3
34.50477952	69.1149205	Farsi	3
34.52685359	69.11499023	Farsi	3
34.50482372	69.11505461	Farsi	3
34.50476626	69.11510289	Farsi	3
34.50476183	69.11527455	Farsi	3
34.53431343	69.11544085	Farsi	3
34.51062348	69.11584854	Farsi	3
34.50439934	69.11610603	Farsi	3
34.53491443	69.11640644	Farsi	3
34.5216207	69.11692142	Farsi	3
34.52825015	69.11702871	Farsi	3
34.50567244	69.11754377	Farsi	3
34.47221025	69.11850929	Farsi	3
34.50648589	69.11876678	Farsi	3
34.52653096	69.11884189	Farsi	3
34.50542494	69.1189599	Farsi	3
