Latitude,Longitude,Type,ObjectID
34.52303503,69.10065651,Advertisement,1
34.52174445,69.1007638,Advertisement,1
34.52146158,69.10106421,Advertisement,1
34.52174887,69.10106421,Advertisement,1
34.52199196,69.10108566,Advertisement,1
34.52386593,69.10115004,Advertisement,1
34.52301735,69.10123587,Advertisement,1
34.52618182,69.1014719,Advertisement,1
34.52694198,69.10164356,Advertisement,1
34.5346316,69.11168575,Advertisement,1
34.53400409,69.11385298,Advertisement,1
34.50401031,69.11679268,Advertisement,1
34.50648589,69.11876678,Advertisement,1
34.50655662,69.11988258,Advertisement,1
34.5080773,69.12129879,Advertisement,1
34.53880315,69.12151337,Advertisement,1
34.50655662,69.12168503,Advertisement,1
34.53385383,69.12280083,Advertisement,1
34.47670332,69.12325144,Advertisement,1
34.50606151,69.12370205,Advertisement,1
34.4716088,69.12400246,Advertisement,1
34.51023449,69.12404537,Advertisement,1
34.47183877,69.12434578,Advertisement,1
34.47550048,69.12710845,Advertisement,1
34.47603999,69.12715673,Advertisement,1
34.47939197,69.12743568,Advertisement,1
34.47781771,69.12977457,Advertisement,1
34.52154998,69.13121223,Advertisement,1
34.50271944,69.13428068,Advertisement,1
34.4948854,69.13464546,Advertisement,1
34.49460244,69.13498878,Advertisement,1
34.5056725,69.13507462,Advertisement,1
34.48888999,69.13554668,Advertisement,1
34.49967787,69.13634062,Advertisement,1
34.4912997,69.13683414,Advertisement,1
"34.5167410839334, ",69.1378212,Advertisement,1
34.49263938,69.13801432,Advertisement,1
34.4896505,69.13816452,Advertisement,1
34.49530983,69.13816452,Advertisement,1
34.49782104,69.138937,Advertisement,1
34.49485003,69.13910866,Advertisement,1
34.47113117,69.13951635,Advertisement,1
34.5000846,69.14254189,Advertisement,1
34.50217126,69.14400101,Advertisement,1
34.50471763,69.14640427,Advertisement,1
34.50330299,69.14674759,Advertisement,1
34.50539399,69.14995551,Advertisement,1
34.50768829,69.15103376,Advertisement,1
34.5498585,69.1629374,Advertisement,1
34.56494125,69.16756153,Advertisement,1
34.53031843,69.16820526,Advertisement,1
34.52945223,69.16934252,Advertisement,1
34.56636367,69.17102695,Advertisement,1
34.53060127,69.17103767,Advertisement,1
34.56647853,69.17238951,Advertisement,1
34.51306351,69.19120789,Advertisement,1
34.5485595,69.20030594,Advertisement,1
34.53471115,69.2012018,Advertisement,1
34.53486582,69.20142174,Advertisement,1
34.52854625,69.11930859,Government Advertisement,2
34.50439049,69.13347602,Government Advertisement,2
34.50439049,69.13347602,Government Advertisement,2
34.50181317,69.14036393,Government Advertisement,2
34.54854183,69.15563107,Government Advertisement,2
34.51896877,69.19502735,Government Advertisement,2
34.55209413,69.20459747,Government Advertisement,2
34.53484372,69.20502663,Government Advertisement,2
34.52904565,69.10245895,Graphic,3
34.58707003,68.95872474,Graphic,3
34.5516258,69.03253913,Graphic,3
34.55946335,69.03545737,Graphic,3
34.53357101,69.07550812,Graphic,3
34.52200964,69.07786846,Graphic,3
34.50416946,69.10363913,Graphic,3
34.52766678,69.10632133,Graphic,3
34.52353003,69.1067934,Graphic,3
34.52717179,69.11082745,Graphic,3
34.53223641,69.11270499,Graphic,3
34.51069421,69.1134882,Graphic,3
34.52855067,69.11365986,Graphic,3
34.5269243,69.1137886,Graphic,3
34.52855067,69.11426067,Graphic,3
34.52847996,69.11473274,Graphic,3
34.52759607,69.11550522,Graphic,3
34.51304582,69.11681414,Graphic,3
34.5216207,69.11692142,Graphic,3
34.52890423,69.11745787,Graphic,3
34.51225901,69.11774755,Graphic,3
34.51116277,69.11775827,Graphic,3
34.51296626,69.11796212,Graphic,3
34.5308134,69.11885262,Graphic,3
34.51214408,69.12074089,Graphic,3
34.46860147,69.12185669,Graphic,3
"34.4693090879636,",69.12224293,Graphic,3
34.52826783,69.12253261,Graphic,3
34.46980442,69.122715,Graphic,3
34.47132576,69.12340164,Graphic,3
34.51171973,69.12365913,Graphic,3
34.47136114,69.12387371,Graphic,3
34.47661488,69.12569761,Graphic,3
34.51437189,69.12610531,Graphic,3
34.51575098,69.12614822,Graphic,3
34.51575098,69.12614822,Graphic,3
34.51575098,69.12614822,Graphic,3
34.51575098,69.12614822,Graphic,3
34.51575098,69.12614822,Graphic,3
34.51575098,69.12614822,Graphic,3
34.51575098,69.12614822,Graphic,3
34.51575098,69.12614822,Graphic,3
34.51583054,69.12625551,Graphic,3
34.5156449,69.12634134,Graphic,3
34.51581728,69.12642717,Graphic,3
