Latitude,Longitude,Keywords,Object_ID
34.5287628052047,69.1119003295898,America,1
34.5106234800000,69.1158485400000,America,1
34.5119142300000,69.1271567300000,America,1
34.5746945386263,69.1295385360718,America,1
34.5137000200000,69.1326713600000,America,1
34.5118700300000,69.1328966600000,America,1
34.4890314829960,69.1370487213135,America,1
34.4953098319965,69.1381645202640,America,1
34.4910830518452,69.1386580467224,America,1
34.5015523400000,69.1387224200000,America,1
34.5102698500000,69.1449451400000,America,1
34.5046468963969,69.1487216949463,America,1
34.5122766942317,69.1633987426758,America,1
34.5170328080033,69.1730010509490,America,1
34.5323336293065,69.1738271713257,America,1
34.5395455200000,69.1974306100000,America,1
34.5047795176197,69.1355144977570,City,2
34.5059907800000,69.1386795000000,City,2
34.5059907800000,69.1512107800000,City,2
34.5348083680510,69.1617250442505,City,2
34.5186858917713,69.1760480403900,City,2
34.5145663800000,69.1334223700000,Communism,3
"34.5169178865219,",69.1336584091187,Conspiracy,4
34.5354800701609,69.1962718963623,Conspiracy,4
34.513527631508, 69.1177475452423,Conspiracy,4
34.5136204564938, 69.1177690029144,Conspiracy,4
34.5136779195284, 69.1177743673325,Conspiracy,4
34.5137265420652, 69.1177797317505,Conspiracy,4
34.5138768297269, 69.1178119182587,Conspiracy,4
34.5140580586054, 69.1178119182587,Conspiracy,4
34.5142392870897, 69.1178280115128,Conspiracy,4
34.5142216062793, 69.1178333759308,Conspiracy,4
34.5141729840314, 69.1178387403488,Conspiracy,4
34.5300355917540,69.1203117370605,Consumer Advertising,5
34.5306366230845,69.1042184829712,Consumer Advertising,5
34.5272071507818,69.1052484512329,Consumer Advertising,5
34.5268182326355,69.1080808639526,Consumer Advertising,5
34.5063090700000,69.1187667800000,Consumer Advertising,5
34.5064858918611,69.1187667846680,Consumer Advertising,5
34.5338538300000,69.1228008300000,Consumer Advertising,5
34.4699813180720,69.1228866577148,Consumer Advertising,5
34.5259343210031,69.1232728958130,Consumer Advertising,5
"34.5159277871935,",69.1362977027893,Consumer Advertising,5
34.4912997000000,69.1368341400000,Consumer Advertising,5
34.4926393807543,69.1380143165588,Consumer Advertising,5
34.5047176300000,69.1464042700000,Consumer Advertising,5
34.5033029900000,69.1467475900000,Consumer Advertising,5
34.5053939931979,69.1499555110931,Consumer Advertising,5
34.5076882900338,69.1510337591171,Consumer Advertising,5
34.5663636733703,69.1710269451141,Consumer Advertising,5
