Latitude,Longitude,Formality,Object_ID
34.5230350250014,69.1006565093994,Formal,1
34.5219919609014,69.1010856628417,Formal,1
34.5308133961796,69.1024589538574,Formal,1
34.5272071507818,69.1052484512329,Formal,1
34.5244139710511,69.1075658798218,Formal,1
34.5268182326355,69.1080808639526,Formal,1
34.5271717946618,69.1108274459839,Formal,1
34.5238836098875,69.1115140914916,Formal,1
34.5263232432772,69.1118574142456,Formal,1
34.5293284905172,69.1122436523438,Formal,1
34.5096686727378,69.1132736206055,Formal,1
34.5285506722219,69.1136598587036,Formal,1
34.5269243014010,69.1137886047363,Formal,1
34.5340040860272,69.1138529777527,Formal,1
34.5285506722219,69.1142606735229,Formal,1
34.5332881801078,69.1142821311951,Formal,1
34.5323159523366,69.1144055128098,Formal,1
34.5268535889057,69.1149902343750,Formal,1
34.5048237200000,69.1150546100000,Formal,1
34.5208781661713,69.1153764724731,Formal,1
34.5349144266392,69.1164064407349,Formal,1
34.4722102528480,69.1185092926025,Formal,1
34.5064858918611,69.1187667846680,Formal,1
34.5226460873727,69.1190242767333,Formal,1
34.5285462527790,69.1193085908890,Formal,1
34.5255807500000,69.1195392600000,Formal,1
34.5219742800000,69.1196250900000,Formal,1
34.5284446100000,69.1198825800000,Formal,1
34.5294389754813,69.1201615333557,Formal,1
34.5080772974933,69.1212987899780,Formal,1
34.5311669412441,69.1222858428955,Formal,1
"34.4696275134267,",69.1225004196166,Formal,1
34.4767033213523,69.1232514381409,Formal,1
34.5074407388869,69.1234874725342,Formal,1
34.5117197337840,69.1236591339111,Formal,1
34.4713611418576,69.1238737106323,Formal,1
34.4718210780498,69.1245174407958,Formal,1
"34.4731654923855, ",69.1245174407958,Formal,1
34.4726701843606,69.1246891021729,Formal,1
34.5726891998369,69.1254830360413,Formal,1
34.4768094539039,69.1256332397460,Formal,1
34.5025249281351,69.1258049011230,Formal,1
34.4765131668598,69.1260516643524,Formal,1
34.5143718930481,69.1261053085327,Formal,1
34.5146282639690,69.1261053085327,Formal,1
34.5157509825039,69.1261482238770,Formal,1
34.5157509825039,69.1261482238770,Formal,1
34.5157509825039,69.1261482238770,Formal,1
34.5157509825039,69.1261482238770,Formal,1
34.5157509825039,69.1261482238770,Formal,1
34.5157509825039,69.1261482238770,Formal,1
34.5157509825039,69.1261482238770,Formal,1
34.4764601004125,69.1261965036392,Formal,1
34.5156448995100,69.1263413429260,Formal,1
34.4763495452055,69.1263735294342,Formal,1
34.5158172843065,69.1264271736145,Formal,1
34.4763451229942,69.1264486312866,Formal,1
34.5157730831106,69.1264647245407,Formal,1
34.5157244617681,69.1265451908112,Formal,1
34.5157421422596,69.1266524791718,Formal,1
34.4756419884119,69.1270065307617,Formal,1
34.4760399898465,69.1271567344666,Formal,1
34.4758056114540,69.1271781921390,Formal,1
34.4757835002506,69.1273123025894,Formal,1
34.4760223009342,69.1274303197861,Formal,1
34.4793919700000,69.1274356800000,Formal,1
34.4761549676850,69.1275537014010,Formal,1
34.5050005525220,69.1281652450562,Formal,1
34.5117816200000,69.1290450100000,Formal,1
34.5117639400000,69.1292059400000,Formal,1
34.4778177100000,69.1297745700000,Formal,1
34.5145663814052,69.1303914785385,Formal,1
34.5116490083814,69.1305255889893,Formal,1
34.5215499800000,69.1312122300000,Formal,1
34.5142127700000,69.1325855300000,Formal,1
