FID,the_geom,NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7764,POINT (24.55388888888889 13.02),,130112,13.02,0243314,24.553889,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7765,POINT (24.28638888888889 10.83361111111111),,105001,10.833611,0241711,24.286389,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7766,POINT (24.266111111111112 10.835277777777778),,105007,10.835278,0241558,24.266111,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7767,POINT (24.29611111111111 10.845555555555556),,105044,10.845556,0241746,24.296111,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7768,POINT (24.36277777777778 11.095833333333333),,110545,11.095833,0242146,24.362778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7769,POINT (24.392777777777777 11.055555555555555),,110320,11.055556,0242334,24.392778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7770,POINT (24.341666666666665 11.054722222222223),,110317,11.054722,0242030,24.341667,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7771,POINT (24.340555555555557 11.078055555555556),,110441,11.078056,0242026,24.340556,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7772,POINT (24.33222222222222 11.081388888888888),,110453,11.081389,0241956,24.332222,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7773,POINT (24.331666666666667 11.184444444444445),,111104,11.184444,0241954,24.331667,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7774,POINT (24.399722222222223 11.040555555555555),,110226,11.040556,0242359,24.399722,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7775,POINT (23.934444444444445 11.245555555555555),AMSHUT,111444,11.245556,0235604,23.934444,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7776,POINT (23.959722222222222 11.235833333333334),,111409,11.235833,0235735,23.959722,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7777,POINT (23.962777777777777 11.222777777777777),,111322,11.222778,0235746,23.962778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7778,POINT (23.93888888888889 11.293333333333333),,111736,11.293333,0235620,23.938889,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7779,POINT (23.959444444444443 11.256388888888889),,111523,11.256389,0235734,23.959444,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7780,POINT (23.982222222222223 11.249444444444444),,111458,11.249444,0235856,23.982222,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7781,POINT (23.991666666666667 11.264444444444445),,111552,11.264444,0235930,23.991667,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7782,POINT (24.31222222222222 14.671111111111111),,144016,14.671111,0241844,24.312222,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7783,POINT (24.309166666666666 14.630833333333333),,143751,14.630833,0241833,24.309167,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7784,POINT (24.3025 14.619444444444444),UM SHIDIG,143710,14.619444,0241809,24.3025,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7785,POINT (24.26388888888889 14.63861111111111),,143819,14.638611,0241550,24.263889,DESTROYED,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7786,POINT (24.252777777777776 14.641944444444444),,143831,14.641944,0241510,24.252778,DAMAGED,,,0,0,0,0,
