Date,Latitude,Longitude,Summary,Category
2011-10-16T10:50:00,-5.16,40.05,At 1050 UTC, a merchant vessel was reported under attack by 1 skiff in position 0501 S 04003 E
2011-10-17T21:15:00,-6.45,40.133333,Pirate Attack,Attacked
2011-10-18T04:50:00,13.783333,49.016667,Pirate Attack,Attacked
2011-10-20T14:40:00,-1.2,58.32,Alert 232 / 2011,Attacked
2011-10-30T00:55:00,-4.33,43.68,Alert 233/2011,Attacked
2011-10-31T11:50:00,12,45.55,Alert 234/2011,Pirated
2011-10-31T14:15:00,-2.38,49.48,NSC 5/11 - WARNING: APPROACH,Approached
2011-10-31T20:30:00,-8.17,46.1,NSC 6/11 - WARNING: ATTACK,Attacked
2011-10-31T21:00:00,16.93,56.82,NSC 7/11 - INDICATION OF MOTHERSHIP,Suspicious Activity
2011-11-01T09:35:00,-1.35,52.35,NSC 8/11 - WARNING: APPROACH,Approached
2011-11-02T06:10:00,16.93,56.82,NSC 9 / 11 - INDICATION OF MOTHERSHIP,Suspicious Activity
2011-11-04T10:00:00,-6.2,51.2,Alert 235 / 2011,Pirated
2011-11-07T14:30:00,15.7,55.18,NSC 10/11 - POSSIBLE MOTHER SHIP,Suspicious Activity
2011-11-11T08:30:00,-3.93,47.23,Attacked,Attacked
2011-11-15T04:30:00,15.85,55.11,Alert 237 Attacked, vessel safe
2011-11-16T07:40:00,-11.733333,42.6666667,Suspicious Approach,Approached
2011-11-18T04:50:00,12.55,43.55,WARNING WARNING WARNING,Attacked
2011-11-19T06:00:00,12.48,43.53,Suspicious Appraoch,Approached
2011-11-19T14:20:00,22.6,59.85,WARNING WARNING WARNIG,Approached
2011-11-19T14:40:00,22.6,59.85,NSC 13/11 UPDATE,Approached
2011-11-21T05:35:00,-4.6,43.3,WARNING WARNING WARNING,Attacked
2011-11-26T06:00:00,12.62,43.43,NSC 14/11 Suspicious Approach,Approached
2011-11-26T10:10:00,-2.87,48.62,Alert 240/11,Approached
2011-11-27T17:00:00,-1.33,49.58,Alert 241 - Suspicious Activity,Suspicious Activity
2011-11-29T08:20:00,15.01,56.6,Alert 242 - WARNING WARNING WARNING,Attacked
2011-11-30T10:55:00,11.98,45.11,Suspicious Approach,Suspicious Activity
2011-11-30T14:05:00,12.3,44.05,Attacked,Attacked
2011-12-04T12:10:00,20.65,60,WARNING WARNING WARNING,Attacked
2011-12-06T07:05:00,20.47,64.78,POSSIBLE MOTHER SHIP,Suspicious Activity
2011-12-07T14:10:00,16.16,55.27,POSSIBLE MOTHER SHIP - UPDATED POSITION,Suspicious Activity
2011-12-09T09:40:00,2.68,48.58,Alert 245 - MOTHERSHIP POSITION,Suspicious Activity
2011-12-15T16:20:00,5.86,49.61,Suspect Vessel,Suspicious Activity
2011-12-15T16:20:00,5.1,49.21,Suspect Vessel,Suspicious Activity
2011-12-19T08:45:00,12.6,46.52,---WARNING WARNING WARNING---,Approached
2011-12-21T16:35:00,11.36,63.55,NSC 18/11 - Suspicious Approach,Approached
2011-12-25T14:25:00,24.96,60.33,NSC 19 /11 - Suspicious Activity,Suspicious Activity
2011-12-27T04:05:00,18.3,57.6,Alert 250 - Pirated Vessel,Pirated
2011-12-31T00:00:00,12.52,43.48,Suspicious Activity,Suspicious Activity
2012-01-04T03:45:00,12.12,44.18,WARNING - SUSPICIOUS APPROACHES,Approached
2012-01-04T04:20:00,13.16,49.2,Alert 001/2012,Attacked
2012-01-04T08:20:00,12.28,44.16,Alert 002/2012,Attacked
2012-01-05T04:45:00,22.45,60.98,ALERT 003/2012,Attacked
2012-01-06T14:15:00,12.43,43.8,NSC 2/12 - Suspicious activity,Suspicious Activity
2012-01-10T10:25:00,10.97,53.38,SUSPECT VESSEL - POSSIBLE MOTHERSHIP,Suspicious Activity
2012-01-12T02:35:00,1.62,46,Alert 005 - Suspicious Activity,Suspicious Activity
2012-01-12T09:50:00,14.85,56.05,Alert 006 - Pirate Attack,Attacked
2012-01-16T08:15:00,15.03,58.23,Alert 007 - Pirate Attack,Attacked
2012-01-17T06:30:00,13.53,55.73,Warning Warning Warning,Approached
2012-01-17T07:35:00,12.5,43.58,Suspicious Activity,Suspicious Activity
2012-01-19T14:00:00,10.85,52.9,Alert 009 - Suspect Vessel,Miscellaneous
2012-01-20T16:00:00,24.85,57.47,Alert 010 - Suspect Vessel,Suspicious Activity
2012-01-28T11:00:00,4.92,58.23,Suspicious Approach,Approached
2012-02-02T04:15:00,7.88,76.3,NSC 5/12 - Suspicious Activity,Suspicious Activity
2012-02-06T04:45:00,-5.05,66.28,Approached,Approached
2012-02-08T07:45:00,-4.3,59.98,Approached,Approached
2012-02-08T14:40:00,16.05,62.43,Alert 012/2012 - Vessel Attacked, Suspected Hijacked
2012-02-10T05:10:00,20.01,60.65,Suspicious activity,Suspicious Activity
2012-02-17T22:10:00,18.17,57.35,Vessel Hijacked,Pirated
2012-02-18T07:15:00,-5.48,59.98,Approached,Approached
2012-02-22T11:25:00,13.51,50.36,Attacked,Attacked
2012-02-28T07:00:00,16.05,58.96,Approached,Approached
2012-02-28T08:00:00,12.56,43.5,Attacked,Attacked
2012-02-28T12:05:00,15.02,54.93,Alert 016/2012 - Pirated,Pirated
2012-03-01T21:35:00,17.15,58.28,Suspicious Activity,Suspicious Activity
2012-03-02T12:20:00,21.45,62.62,Attacked,Attacked
2012-03-03T12:00:00,13.05,60.38,Suspicious Activity,Suspicious Activity
2012-03-04T09:25:00,16.57,59.8,Pirated,Pirated
2012-03-06T05:20:00,14.33,52.75,Attacked,Attacked
2012-03-06T10:30:00,13.67,50.67,NSC 011/12 - Suspicious Activity,Suspicious Activity
2012-03-09T13:15:00,14.33,52.65,NSC 012/12 - Suspicious Activity,Suspicious Activity
2012-03-11T07:35:00,13.21,57.83,Attack,Attacked
2012-03-17T06:25:00,13.15,48.75,Alert 021/12 - Attack,Attacked
2012-03-17T11:20:00,5.78,53.83,Alert 022/12 - Attack,Attacked
2012-03-19T02:55:00,5.65,53.33,Alert 023/12 - Attack,Attacked
2012-03-23T04:00:00,16.97,62.8,Attacked,Attacked
2012-03-25T14:00:00,14.28,56.85,Attack,Attacked
2012-03-26T03:00:00,-5.35,49.3,Attack,Attacked
