Term,TF,IDF,TF_IDF
Paint,11,251,1,0.06610180179352063
Building,28,219,1,0.05767448044932676
Residence,27,195,1,0.05135398944118136
Paper,9,146,1,0.0384496536328845
Space,29,142,1,0.037396238464860274
Board,30,40,1,0.01053415168024233
Business,26,32,1,0.008427321344193864
34.515750982504,69.126148223877,School,31,8,1,0.002106830336048466
34.5157509825039,69.1261482238770,Paint,4,7,1,0.0018434765440424076
Marker",12,6,1,0.0015801227520363494
Paint,6,1,0.0015801227520363494
Marker",5,5,1,0.0013167689600302912
34.504779517620,69.135514497757,Public,3,1,7.900613760181747E-4
69.1178387403488,Paint,4,3,1,7.900613760181747E-4
34.501795489069,69.142118096352,Private,2,1,5.267075840121165E-4
34.514301169896,69.197344779968,Public,2,1,5.267075840121165E-4
34.520135628078,69.185714721680,Public,2,1,5.267075840121165E-4
34.5143011698964,69.1973447799682,Spray,2,1,5.267075840121165E-4
34.501751280436,69.137955307961,Public,2,1,5.267075840121165E-4
Paper",6,2,1,5.267075840121165E-4
34.5043904947679,69.1334760189056,Printed,2,1,5.267075840121165E-4
34.501406452291,69.142193198204,Public,2,1,5.267075840121165E-4
34.5017512804357,69.1379553079605,Printed,2,1,5.267075840121165E-4
34.5047795176197,69.1355144977570,Printed,2,1,5.267075840121165E-4
34.5017954890690,69.1421180963516,Spray,2,1,5.267075840121165E-4
34.5014064522906,69.1421931982040,Paint,4,2,1,5.267075840121165E-4
34.5201356280777,69.1857147216797,Paint,4,2,1,5.267075840121165E-4
34.504390494768,69.133476018906,School,31,2,1,5.267075840121165E-4
34.549858498326,69.162915945053,School,31,2,1,5.267075840121165E-4
34.500889207399,69.142000079155,Public,2,1,5.267075840121165E-4
69.1177690029144,Paint,4,2,1,5.267075840121165E-4
34.5323000000000,69.2021000000000,Sticker,13,2,1,5.267075840121165E-4
34.532300000000,69.202100000000,Public,2,1,5.267075840121165E-4
Printed,2,1,5.267075840121165E-4
34.5000801769008,69.1414099931717,Printed,2,1,5.267075840121165E-4
34.500080176901,69.141409993172,Private,2,1,5.267075840121165E-4
34.5008892073985,69.1420000791550,Paint,4,2,1,5.267075840121165E-4
34.519720157447,69.177056550980,Public,1,1,2.6335379200605825E-4
69.0325391292572,Paint,4,1,1,2.6335379200605825E-4
34.576390646451,69.138454198837,Private,1,1,2.6335379200605825E-4
34.564941247102,69.167561531067,Private,1,1,2.6335379200605825E-4
34.512144084939,69.120740890503,Public,1,1,2.6335379200605825E-4
34.5501324331992,1,1,2.6335379200605825E-4
34.532510398799,69.120740890503,Private,1,1,2.6335379200605825E-4
34.5346448607962,69.2034924030303,Paint,4,1,1,2.6335379200605825E-4
34.505990780000,69.138679500000,Private,1,1,2.6335379200605825E-4
34.519874850000,69.181466100000,Public,1,1,2.6335379200605825E-4
34.531237650000,69.178762440000,Public,1,1,2.6335379200605825E-4
34.533288180108,69.114282131195,Public,1,1,2.6335379200605825E-4
34.5361871200000,69.1851568200000,Printed,1,1,2.6335379200605825E-4
