Event ID,Event Date,Event Type,Group,Country,State,City,Latitude,Longitude,Total Deaths,Total Injuries
3665375,14-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Jubbada Hoose,Kismaayo,-0.34641,42.539059,1,0
3664192,7-Apr,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Jubbada Hoose,Kismaayo,-0.34641,42.539059,0,0
3664145,13-Apr,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Baardheere,2.33928,42.283741,0,0
3681903,23-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Dhusamareb,5.161575,46.200829,0,0
3681647,23-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Elwak,2.790175,42.089075,11,20
3683386,26-Apr,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,10,13
3683904,26-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Beled Haawo,2.790175,42.089075,6,0
3681426,23-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,54,130
3681685,23-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,7,0
3684342,26-Apr,Robbery,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Beled Haawo,2.790175,42.089075,0,0
3692096,22-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,0,0
3692062,25-Apr,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,0,0
3693953,28-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,0,0
3692957,26-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Elwak,2.790175,42.089075,10,0
3694117,28-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,43,0
3694859,30-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bakol,Unknown,5.161575,46.200829,6,0
3694890,29-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,24,0
3696320,2-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Garbaharey,2.790175,42.089075,10,20
3700322,5-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,12,13
3699942,3-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Unknown,2.790175,42.089075,8,0
3700084,4-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Baidoa,3.12022,43.64423,2,0
3704932,9-May,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,7
3702321,8-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,3,5
3709922,8-May,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Beled Weyne,5.161575,46.200829,0,0
3710750,11-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
3710695,11-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,11,30
3712259,11-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Jubbada Hoose,Dhobley,-0.17967,42.141064,10,0
3710944,11-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bari,Galgala,10.17017,50.171175,5,4
3712443,12-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,12,4
3712967,12-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Dhusamareb,5.161575,46.200829,0,0
3712304,11-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bari,Galgala,10.17017,50.171175,14,20
3712471,12-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
3712755,12-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Dhusamareb,5.161575,46.200829,7,12
3719763,13-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Beled Weyne,5.161575,46.200829,5,10
3720016,13-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Guri-el,5.161575,46.200829,0,0
3719990,13-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Guri-el,5.161575,46.200829,7,14
3719955,12-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Guri-el,5.161575,46.200829,6,0
3720692,9-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gobolka Bakool,Hudur,4.117575,43.884495,0,1
3721529,13-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Jubbada Hoose,Unknown,-0.17967,42.141064,0,3
3721686,13-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,2,0
3728803,16-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,48,0
3728841,16-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,3
3728867,16-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Garbaharey,2.790175,42.089075,0,0
3728883,16-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
3728656,15-May,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Bari,Bosaso,11.27748,49.181431,3,0
3731258,18-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,15,80
3729590,16-May,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,5,0
3731158,17-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Garbaharey,2.790175,42.089075,1,0
3734682,21-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,5
