x,y
23822.89,0.08
25295.44,0.07
25138.60,0.09
20773.87,0.11
28269.26,0.08
19193.65,0.48
23013.33,0.47
31199.00,0.38
31337.00,0.41
30537.98,0.45
36714.00,0.37
38825.79,0.35
42672.16,0.33
46468.01,0.31
48297.01,0.29
52353.04,0.28
52463.77,0.27
57476.17,0.27
57140.19,0.28
57510.93,0.28
56375.45,0.29
183221.51,0.15
230042.57,0.12
315159.83,0.09
294305.00,0.10
328959.33,0.11
360024.81,0.10
391090.29,0.09
353098.63,0.10
315106.96,0.14
334102.80,0.13
381472.84,0.12
363561.92,0.12
