LocationA,LocationB,Distance,Tags,StartLat,StartLon,EndLat,EndLon
1,4,0.0039166699999952925,,35.94711111,39.01263889,35.94975,39.01136111
1,7,0.002416670000002341,,35.94711111,39.01263889,35.94813889,39.01125
1,8,0.004249999999998977,,35.94711111,39.01263889,35.94994444,39.01122222
1,9,0.004749999999994259,,35.94711111,39.01263889,35.94961111,39.01038889
1,11,0.0,,35.94711111,39.01263889,35.94711111,39.01263889
1,13,0.0034444499999963796,,35.94711111,39.01263889,35.95025,39.01233333
1,18,0.0034444499999963796,,35.94711111,39.01263889,35.95025,39.01233333
1,19,0.0034444499999963796,,35.94711111,39.01263889,35.95025,39.01233333
1,21,1.1110999999885962E-4,,35.94711111,39.01263889,35.947,39.01263889
1,22,0.003194440000001464,,35.94711111,39.01263889,35.94602778,39.01475
1,26,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,31,1.1110999999885962E-4,,35.94711111,39.01263889,35.947,39.01263889
1,36,0.0027222200000096564,,35.94711111,39.01263889,35.94611111,39.01436111
1,38,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,41,0.0025000000000048317,,35.94711111,39.01263889,35.94613889,39.01416667
1,55,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,56,0.0025000000000048317,,35.94711111,39.01263889,35.94613889,39.01416667
1,57,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,64,0.0037500099999903114,,35.94711111,39.01263889,35.94916667,39.01094444
1,69,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,78,0.0026388900000000604,,35.94711111,39.01263889,35.94913889,39.01325
1,80,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,83,0.0025000000000048317,,35.94711111,39.01263889,35.94613889,39.01416667
1,92,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,93,4.1665999999906944E-4,,35.94711111,39.01263889,35.94747222,39.01269444
1,94,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,95,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,96,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,97,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,101,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,103,4.9999000000156E-4,,35.94711111,39.01263889,35.94666667,39.01269444
1,105,5.833299999977726E-4,,35.94711111,39.01263889,35.94666667,39.0125
1,106,4.9999000000156E-4,,35.94711111,39.01263889,35.94666667,39.01269444
1,108,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,109,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,110,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,115,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,116,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,119,4.9999000000156E-4,,35.94711111,39.01263889,35.94666667,39.01269444
1,120,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,121,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,122,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,124,4.9999000000156E-4,,35.94711111,39.01263889,35.94666667,39.01269444
1,125,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,126,0.0036388899999977298,,35.94711111,39.01263889,35.95008333,39.01330556
1,127,0.0036388899999977298,,35.94711111,39.01263889,35.95008333,39.01330556
1,131,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,132,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,133,0.004694440000001521,,35.94711111,39.01263889,35.94747222,39.01697222
1,140,0.0012777700000015102,,35.94711111,39.01263889,35.94627778,39.01308333
1,142,0.0036388899999977298,,35.94711111,39.01263889,35.95008333,39.01330556
1,143,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,144,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,152,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
1,161,0.0032222199999907275,,35.94711111,39.01263889,35.95019444,39.0125
