fulcrum_id,FacilityType,latitude,longitude
121,1,1/1/06 8:00,2215 BORONA WAY
122,4,1/1/06 8:00,6 SHELTER POINT CT
123,2,1/1/06 8:00,970 FRIENZA AVE
124,1,1/1/06 8:00,1631 W EL CAMINO AVE
125,1,1/1/06 8:05,SWEET PEA WAY / SHADY ARBOR CT
126,2,1/1/06 8:57,RIO LINDA BLVD / MAIN AVE
127,4,1/1/06 9:00,5878 KAHARA CT
128,1,1/1/06 9:15,18 GODELLO CT
129,3,1/1/06 9:15,7850 COLLEGE TOWN DR
130,1,1/1/06 9:30,4947 KOKOMO DR
131,3,1/1/06 9:45,HOWE AVE / AMERICAN RIVER DR
132,1,1/1/06 9:53,4650 NATOMAS BLVD
133,6,1/1/06 10:00,3724 SAN CARLOS WAY
134,4,1/1/06 10:00,4410 CRESTWOOD WAY
135,2,1/1/06 10:00,1500 TESSA AVE
136,5,1/1/06 10:00,7500 HOSPITAL DR
137,3,1/1/06 10:00,8545 FOLSOM BLVD
138,5,1/1/06 10:30,8105 PHINNEY DR
139,3,1/1/06 10:30,401 J ST
140,6,1/1/06 11:00,3632 52ND ST
141,6,1/1/06 11:01,SAN FRANCISCO BLVD / 50TH ST
142,4,1/1/06 11:04,5524 DANJAC CIR
143,2,1/1/06 11:08,2571 ALTOS AVE
144,3,1/1/06 11:10,414 K ST
145,5,1/1/06 11:30,7486 CARELLA DR
146,3,1/1/06 11:30,7TH ST / J ST
147,5,1/1/06 11:30,5701 LERNER WAY
148,3,1/1/06 11:46,1321 E ST
149,2,1/1/06 11:49,1912 BOWLING GREEN DR
150,2,1/1/06 12:00,3555 AUBURN BLVD
151,5,1/1/06 12:00,7526 TITIAN PKWY
152,3,1/1/06 12:00,12 WATERGLEN CIR
153,2,1/1/06 12:00,4733 NASHUA WAY
154,2,1/1/06 12:00,971 ACACIA AVE
155,2,1/1/06 12:00,3146 PALMER ST
156,5,1/1/06 12:00,8178 CENTER PKWY
157,2,1/1/06 12:30,1820 FRIENZA AVE
158,2,1/1/06 12:45,1689 ARDEN WAY
159,2,1/1/06 12:45,1029 FRIENZA AVE
160,4,1/1/06 13:00,5770 FREEPORT BLVD
161,2,1/1/06 13:10,1113 CONGRESS AVE
162,2,1/1/06 13:49,3421 AUBURN BLVD
163,3,1/1/06 14:00,560 SANDBURG DR
164,5,1/1/06 14:40,7608 AMHERST ST
165,1,1/1/06 14:57,3801 DUCKHORN DR
166,3,1/1/06 14:59,5TH ST / P ST
167,5,1/1/06 15:00,7301 MEADOWGATE DR
168,1,1/1/06 15:00,5518 SAGPOND WAY
169,6,1/1/06 15:13,33RD ST / 11TH AVE
170,4,1/1/06 15:30,35 QUAY CT
171,3,1/1/06 15:30,1814 19TH ST
172,4,1/1/06 15:30,2505 52ND AVE
173,4,1/1/06 15:36,5770 FREEPORT BLVD
174,2,1/1/06 15:40,1751 BELL AVE
175,1,1/1/06 16:00,3661 TRUXEL RD
176,2,1/1/06 16:00,3904 MAY ST
177,1,1/1/06 16:00,1650 BAINES AVE
178,5,1/1/06 16:00,6272 MACK RD
179,3,1/1/06 16:00,8389 FOLSOM BLVD
180,3,1/1/06 16:25,FOLSOM BLVD / WATT AVE
181,2,1/1/06 16:30,1801 BELL AVE
182,3,1/1/06 16:51,2314 Q ST
183,1,1/1/06 16:57,2340 MOSSY BANK DR
184,5,1/1/06 16:57,8101 COSUMNES RIVER BLVD
185,3,1/1/06 16:59,J ST / 17TH ST
186,5,1/1/06 17:00,8200 CENTER PKWY
187,6,1/1/06 17:00,6421 SUN RIVER DR
188,2,1/1/06 17:00,3715 IVY ST
189,1,1/1/06 17:00,3157 BRIDGEFORD DR
190,3,1/1/06 17:30,11TH ST / F ST
191,3,1/1/06 17:37,17TH ST / Q ST
192,6,1/1/06 17:41,FRUITRIDGE RD / 53RD ST
193,6,1/1/06 17:41,5301 FRUITRIDGE RD
194,2,1/1/06 18:00,2890 GROVE AVE
195,2,1/1/06 18:00,2828 CONNIE DR
196,6,1/1/06 18:00,3700 32ND ST
197,4,1/1/06 18:00,1632 BROADWAY
198,2,1/1/06 18:10,1729 DIGGS PARK DR
199,6,1/1/06 18:19,5301 FRUITRIDGE RD
200,1,1/1/06 18:23,2700 DEL PASO RD
201,5,1/1/06 18:55,7290 FRANKLIN BLVD
202,3,1/1/06 18:55,700 N 5TH ST
203,2,1/1/06 19:00,321 ELEANOR AVE
204,2,1/1/06 19:00,321 ELEANOR AVE
205,5,1/1/06 19:00,7659 MASTERS ST
206,2,1/1/06 19:00,3644 DAYTON ST
207,4,1/1/06 19:00,2800 BROADWAY
208,3,1/1/06 19:11,1418 E ST
209,6,1/1/06 19:40,3514 37TH ST
210,3,1/1/06 19:59,227 JIBBOOM ST
211,2,1/1/06 20:00,78 REDWOOD AVE
212,1,1/1/06 20:00,3311 LONG BRANCH CT
213,2,1/1/06 20:00,1601 ARDEN WAY
214,3,1/1/06 20:00,1701 13TH ST
215,6,1/1/06 20:05,7770 52ND AVE
216,1,1/1/06 20:30,2621 STONECREEK DR
217,2,1/1/06 20:40,EL CAMINO AVE / GROVE AVE
218,1,1/1/06 20:49,3200 TRUXEL RD
219,1,1/1/06 21:00,2540 VENTURE OAKS WAY
220,2,1/1/06 21:00,1732 ELDRIDGE AVE
221,3,1/1/06 21:10,23RD ST / Q ST
222,1,1/1/06 21:11,NORTHGATE BLVD / ROSIN CT
223,6,1/1/06 21:15,5530 STOCKTON BLVD
224,5,1/1/06 21:33,FRANKLIN BLVD / FLORIN RD
225,2,1/1/06 22:00,1609 BOWLING GREEN DR
226,1,1/1/06 22:00,1422 BREWERTON DR
227,2,1/1/06 22:00,2000 DEL PASO BLVD
228,6,1/1/06 22:00,MCGLASHAN ST / PERRY AVE
229,6,1/1/06 22:00,PERRY AVE / 46TH ST
230,3,1/1/06 22:00,8552 ERINBROOK WAY
231,1,1/1/06 22:00,4100 NORTHGATE BLVD
232,6,1/1/06 22:00,7901 34TH AVE
233,2,1/1/06 22:10,630 JESSIE AVE
234,6,1/1/06 22:28,4 WAYNE CT
235,6,1/1/06 22:30,3800 STOCKTON BLVD
236,5,1/1/06 22:30,5907 BAMFORD DR
237,2,1/1/06 22:30,5425 RIO LINDA BLVD
238,3,1/1/06 22:36,2ND ST / I ST
239,3,1/1/06 22:45,23RD ST / J ST
240,1,1/1/06 22:54,2116 MABRY DR
241,2,1/1/06 23:00,1906 BOWLING GREEN DR
242,3,1/1/06 23:00,330 U ST
243,2,1/1/06 23:05,PRINCETON ST / GLENROSE AVE
244,1,1/1/06 23:14,INDIANA AVE / NORTHGATE BLVD
245,2,1/1/06 23:16,LEXINGTON ST / FRIENZA AVE
246,5,1/1/06 23:20,65 BRENTFORD CIR
247,5,1/1/06 23:30,VALLEY HI DR / CENTER PKWY
248,6,1/1/06 23:45,34TH ST / Y ST
249,3,1/1/06 23:45,13TH ST / G ST
250,3,1/1/06 23:59,1311 63RD ST
251,6,1/2/06 0:00,4911 8TH AVE
252,5,1/2/06 0:00,3845 SEA FOREST WAY
253,1,1/2/06 0:00,2481 KRAMERIA AVE
254,4,1/2/06 0:00,6550 PARK RIVIERA WAY
255,3,1/2/06 0:01,2531 S ST
256,6,1/2/06 0:01,6730 4TH AVE
257,3,1/2/06 0:01,200 BICENTENNIAL CIR
258,1,1/2/06 0:01,2311 RIVER PLAZA DR
259,6,1/2/06 0:01,3251 SAN JOSE WAY
260,6,1/2/06 0:02,12TH AVE / LISSETTA AVE
261,2,1/2/06 0:05,3345 MABEL ST
262,5,1/2/06 0:30,1549 JANRICK AVE
263,5,1/2/06 0:31,4108 WEYMOUTH LN
264,2,1/2/06 1:00,621 CLAIRE AVE
265,4,1/2/06 1:30,930 43RD AVE
266,1,1/2/06 1:38,SAN JUAN RD / BANDON WAY
267,5,1/2/06 1:41,24TH ST / TEEKAY WAY
268,5,1/2/06 1:56,BRUCEVILLE RD / CALVINE RD
269,1,1/2/06 2:00,2912 CAMARILLO DR
270,5,1/2/06 2:00,8461 TAMBOR WAY
271,4,1/2/06 2:19,6421 RIVERSIDE BLVD
272,4,1/2/06 3:00,7553 GREENHAVEN DR
273,6,1/2/06 5:00,35TH ST / BROADWAY
274,3,1/2/06 6:12,15TH ST / C ST
275,2,1/2/06 6:24,1595 SILICA AVE
276,3,1/2/06 6:25,ELIZA ST / LOUISE ST
277,4,1/2/06 6:30,1240 ALDER TREE WAY
278,6,1/2/06 6:30,3205 42ND ST
279,2,1/2/06 6:48,1515 NORTH AVE
280,3,1/2/06 6:50,2801 L ST
281,4,1/2/06 7:00,2628 27TH ST
282,2,1/2/06 7:16,3720 CYPRESS ST
283,2,1/2/06 7:53,ETHAN WAY / HALLMARK DR
284,6,1/2/06 8:00,4635 POWER INN RD
285,3,1/2/06 8:20,10TH ST / K ST
286,6,1/2/06 9:38,4TH AVE / REDDING AVE
287,2,1/2/06 9:56,ROANOKE AVE / BELDEN ST
288,2,1/2/06 10:00,212 CHRISTINE DR
289,1,1/2/06 10:00,2351 NORTHGATE BLVD
290,1,1/2/06 10:00,3251 NORTHGATE BLVD
291,2,1/2/06 10:30,346 LINDLEY DR
292,2,1/2/06 11:00,2743 ALBATROSS WAY
293,6,1/2/06 11:00,7060 ROCK CREEK WAY
294,2,1/2/06 11:03,MABEL ST / FORD RD
295,5,1/2/06 11:32,MCNAMARA WAY / BENOIT CT
296,2,1/2/06 11:37,RIO LINDA BLVD / CARMELITA AVE
297,3,1/2/06 11:38,1328 D ST
298,3,1/2/06 11:54,BETTY WAY / CAMELLIA AVE
299,2,1/2/06 12:00,2156 CANTALIER ST
300,3,1/2/06 12:00,2300 G ST
301,6,1/2/06 12:00,3824 12TH AVE
302,4,1/2/06 12:10,HAVENSIDE DR / RIVERSIDE BLVD
303,3,1/2/06 12:22,W ST / 16TH ST
304,2,1/2/06 12:29,1960 JOAN WAY
305,3,1/2/06 13:00,100 CAPITOL MALL
306,1,1/2/06 13:00,2305 SANDCASTLE WAY
307,2,1/2/06 13:42,132 OLMSTEAD DR
308,1,1/2/06 14:00,4780 NATOMAS BLVD
309,3,1/2/06 14:00,RICHARDS BLVD / DOS RIOS ST
310,5,1/2/06 14:15,5255 MACK RD
311,5,1/2/06 14:21,8775 CENTER PKWY
312,6,1/2/06 14:33,8TH AVE / 44TH ST
313,2,1/2/06 15:00,1370 RESPONSE RD
314,6,1/2/06 15:30,5016 12TH AVE
315,6,1/2/06 15:39,8024 ELDER CREEK RD
316,2,1/2/06 15:59,1701 ARDEN WAY
317,2,1/2/06 16:00,1690 ARDEN WAY
318,3,1/2/06 16:18,DOS RIOS ST / RICHARDS BLVD
319,3,1/2/06 16:33,65TH ST / ELVAS AVE
320,2,1/2/06 16:40,3550 MARYSVILLE BLVD
321,5,1/2/06 16:44,CALVINE RD / BRUCEVILLE RD
322,2,1/2/06 16:49,1896 ARDEN WAY
323,2,1/2/06 16:50,3927 MARYSVILLE BLVD
324,6,1/2/06 17:00,5100 STOCKTON BLVD
325,5,1/2/06 17:00,1470 JANRICK AVE
326,5,1/2/06 17:00,5210 SHORTWAY DR
327,3,1/2/06 17:03,3RD ST / L ST
328,3,1/2/06 17:04,14TH ST / P ST
329,5,1/2/06 17:15,2460 FLORIN RD
330,3,1/2/06 17:45,1730 O ST
331,4,1/2/06 17:47,1421 OREGON DR
332,4,1/2/06 17:50,5824 ANNRUD WAY
333,2,1/2/06 17:51,ARCADE BLVD / CLAY ST
334,3,1/2/06 18:00,2415 L ST
335,3,1/2/06 18:00,1831 CAPITOL AVE
336,1,1/2/06 18:00,2668 STONECREEK DR
337,2,1/2/06 18:00,3950 DEVELOPMENT DR
338,3,1/2/06 18:20,1901 J ST
339,2,1/2/06 18:24,GROVE AVE / ELEANOR AVE
340,3,1/2/06 18:25,3140 J ST
341,3,1/2/06 18:29,113 K ST
342,4,1/2/06 18:30,4700 FREEPORT BLVD
343,6,1/2/06 18:41,4331 STOCKTON BLVD
344,4,1/2/06 18:45,16TH ST / BROADWAY
345,3,1/2/06 18:45,1701 O ST
346,1,1/2/06 18:46,NORTHGATE BLVD / W EL CAMINO AVE
347,4,1/2/06 18:46,SUTTERVILLE RD / FRANKLIN BLVD
348,2,1/2/06 18:55,2378 GROVE AVE
349,6,1/2/06 19:00,3500 53RD ST
350,3,1/2/06 19:00,545 K ST
351,5,1/2/06 19:00,211 HEMFORD CIR
352,1,1/2/06 19:01,4680 NATOMAS BLVD
353,2,1/2/06 19:05,3555 AUBURN BLVD
354,2,1/2/06 19:11,ACACIA AVE / RIO LINDA BLVD
355,2,1/2/06 19:20,3555 AUBURN BLVD
356,2,1/2/06 19:22,1253 ACACIA AVE
357,3,1/2/06 19:51,HOWE AVE / FOLSOM BLVD
358,1,1/2/06 20:02,725 SAN JUAN RD
359,6,1/2/06 20:25,6025 DIAS AVE
360,1,1/2/06 20:30,3348 DRY BRANCH CT
361,3,1/2/06 20:30,547 L ST
362,4,1/2/06 20:32,47TH AVE / WOODBINE AVE
363,2,1/2/06 20:52,1111 LOS ROBLES BLVD
364,3,1/2/06 20:55,700 K ST
365,2,1/2/06 21:00,10 FIG LEAF CT
366,1,1/2/06 21:00,4400 TRUXEL RD
367,6,1/2/06 21:00,4901 ALCOTT DR
368,4,1/2/06 21:00,2881 38TH AVE
369,5,1/2/06 21:00,8256 VILLAGE CREEK WAY
370,1,1/2/06 21:00,260 ODELL CIR
371,5,1/2/06 21:05,7821 ALTA VALLEY DR
372,6,1/2/06 21:07,BELLEVIEW AVE / FRUITRIDGE RD
373,2,1/2/06 21:13,1776 SOUTH AVE
374,2,1/2/06 21:13,2224 BELL AVE
375,4,1/2/06 21:25,7293 FARM DALE WAY
376,5,1/2/06 21:29,7661 SKIROS WAY
377,3,1/2/06 21:36,8TH ST / L ST
378,1,1/2/06 21:44,2660 STONECREEK DR
379,4,1/2/06 21:55,YREKA AVE / CANYON TREE DR
380,3,1/2/06 22:00,906 12TH ST
381,2,1/2/06 22:00,1861 GLENROSE AVE
382,3,1/2/06 22:00,19TH ST / P ST
383,3,1/2/06 22:05,19TH ST / J ST
384,5,1/2/06 22:49,2451 MEADOWVIEW RD
385,1,1/2/06 22:54,2828 AQUINO DR
386,1,1/2/06 22:58,NORTHGATE BLVD / RIO TIERRA AVE
387,1,1/2/06 23:00,4500 TRUXEL RD
388,1,1/2/06 23:00,300 CURRAN AVE
389,3,1/2/06 23:15,18TH ST / V ST W ST ALY
390,2,1/2/06 23:15,757 ALAMOS AVE
391,2,1/2/06 23:30,2304 OAKMONT ST
392,3,1/2/06 23:30,1230 J ST
393,1,1/2/06 23:30,NORTHGATE BLVD / SAN JUAN RD
394,5,1/2/06 23:42,4940 MACK RD
395,2,1/2/06 23:44,EDGEWATER RD / EL CAMINO AVE
396,2,1/3/06 0:00,426 CLAIRE AVE
397,1,1/3/06 0:00,4101 INNOVATOR DR
398,6,1/3/06 0:00,3962 3RD AVE
399,6,1/3/06 0:01,8025 WAGON TRAIL WAY
400,2,1/3/06 0:01,412 ARCADE BLVD
401,3,1/3/06 0:01,219 S ST
402,3,1/3/06 0:01,215 S ST
403,3,1/3/06 0:01,217 S ST
404,4,1/3/06 0:01,5720 HOLSTEIN WAY
405,1,1/3/06 0:01,1460 WOODRIDGE OAK WAY
406,2,1/3/06 0:01,4782 KIT WAY
407,5,1/3/06 0:01,1401 TIVERTON AVE
408,2,1/3/06 0:02,LAS PALMAS AVE / ALTOS AVE
409,5,1/3/06 0:02,8120 TIMBERLAKE WAY
410,4,1/3/06 0:05,7530 RUSH RIVER DR
411,2,1/3/06 0:08,99 VILLAGE CIR
412,3,1/3/06 0:09,JIBBOOM ST / RICHARDS BLVD
413,6,1/3/06 0:22,1ST AVE / ALHAMBRA BLVD
414,6,1/3/06 0:26,5560 MCGLASHAN ST
415,3,1/3/06 0:38,19TH ST / CAPITOL AVE
416,4,1/3/06 0:41,6815 24TH ST
417,1,1/3/06 1:00,4918 KOKOMO DR
418,3,1/3/06 2:00,2412 E ST
