x,y
22272.95,0.37
23929.51,0.41
23822.89,0.44
25295.44,0.39
25138.60,0.43
20773.87,0.49
28269.26,0.44
19193.65,0.63
23013.33,0.60
31199.00,0.45
31337.00,0.48
30537.98,0.54
36714.00,0.43
38825.79,0.42
42672.16,0.44
46468.01,0.41
48297.01,0.40
52353.04,0.40
52463.77,0.39
57476.17,0.37
57140.19,0.40
57510.93,0.39
56375.45,0.40
183221.51,0.24
230042.57,0.19
315159.83,0.14
294305.00,0.17
328959.33,0.18
360024.81,0.18
391090.29,0.18
353098.63,0.19
315106.96,0.25
334102.80,0.28
381472.84,0.27
363561.92,0.29
